	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
AC006006.1	0	0	1	0	0	0	0	0
HSPE1P14	0	0	0	0	0	0	2	0
ATP2B1-AS1	87	44	36	39	44	50	36	31
ACTG1P22	8	1	7	4	6	3	1	1
AC055876.5	0	0	0	1	0	0	0	0
AL359821.1	0	0	8	1	8	1	1	0
IGHV3OR16-7	0	0	0	0	0	0	0	0
AC013244.3	0	0	1	0	0	0	1	0
AC138894.3	0	0	0	0	0	0	3	0
AP004372.1	0	0	0	1	4	1	0	0
PSMA6P4	0	0	2	0	1	3	0	1
AC104763.2	2	1	4	2	2	3	0	5
AC027612.4	2	2	0	0	1	0	0	1
AC067959.1	0	0	1	2	1	2	0	0
IGKV2OR2-8	0	0	0	0	0	0	0	0
AL139041.1	4	1	0	1	0	0	0	1
AL589743.3	2	0	1	0	0	0	0	1
AC017002.4	3	0	1	1	1	0	0	0
BNIP3P19	1	0	0	2	0	1	0	0
AC019072.1	2	0	9	9	3	3	0	1
MARK3P1	0	0	2	0	1	0	0	0
AC112220.2	88	58	42	23	24	24	25	21
AC242498.1	0	0	0	1	1	0	1	0
AC099343.3	17	11	12	12	14	7	8	15
KRT8P47	10	2	4	11	0	0	5	2
LINC00904	4	0	0	1	0	0	0	0
AL031601.1	0	0	2	0	0	0	0	0
AL356052.1	2	0	0	2	3	0	0	0
AC097359.3	2	5	0	1	0	1	1	0
AC025062.2	0	0	0	0	0	0	0	0
BNIP3P35	1	1	5	0	2	1	2	0
AC007262.1	0	0	0	0	3	0	1	0
AC018462.2	3	0	0	1	0	0	0	0
AL161729.4	0	0	0	0	0	0	0	0
Z99497.2	0	0	0	0	0	0	1	0
BNIP3P36	0	0	0	3	1	0	0	1
AC233280.2	0	0	0	1	3	0	1	0
AC004890.3	2	3	0	0	1	0	1	0
AC008555.7	1	0	0	1	0	0	0	0
AC104408.1	0	0	0	1	0	2	0	0
AC010998.2	9	5	8	1	4	8	6	5
AC107304.1	0	1	5	4	4	1	2	0
DUXAP8	7	15	10	11	13	15	18	14
AC104771.1	0	0	1	0	1	1	0	0
Z82195.1	0	1	5	6	1	0	0	0
LSM1P2	0	1	4	0	0	0	0	0
AC098935.2	2	0	0	0	0	0	0	0
AC136601.2	0	0	0	0	0	0	0	0
AC092960.1	0	0	1	0	0	1	2	0
AL953862.2	0	0	1	0	1	0	0	0
MTND5P10	0	1	4	4	4	4	0	0
AC140658.7	0	0	2	0	0	0	0	0
AL929325.1	1	0	0	1	0	0	0	0
AC023141.13	0	0	0	2	0	0	0	0
AL049779.3	0	1	0	0	0	0	0	0
AC233992.2	11	1	9	3	5	3	6	4
AC098483.2	1	0	0	0	1	0	1	0
AC123786.2	2	0	0	0	0	0	0	0
BNIP3P20	0	0	0	0	1	1	0	0
RPL17P3	0	0	0	1	1	0	0	1
ATP1B3P1	2	1	2	1	4	1	6	3
AC017033.1	1	1	0	0	1	2	0	1
NDUFA8P1	0	0	2	0	0	0	0	1
AC069236.1	0	0	7	4	0	0	0	0
AL163642.2	0	1	2	3	0	0	0	1
AC010501.1	5	9	5	3	2	6	1	0
AC012640.3	0	0	0	0	0	2	0	2
AC022001.2	1	1	0	1	1	0	1	1
AC022146.2	0	4	1	0	0	1	0	0
RP11-337C18.9	11	6	8	10	13	13	4	5
MROH7-TTC4	138	100	84	74	175	158	108	68
AC011396.3	5	0	1	2	0	0	2	2
AC103858.1	4	0	0	0	2	1	0	1
AL357054.2	0	0	3	2	3	1	3	4
AL390208.1	61	33	27	32	74	43	23	30
AL137798.1	0	0	0	3	0	0	0	0
Z98200.1	7	0	2	4	0	1	1	1
AL138900.3	2	0	0	1	0	4	2	0
AC008608.2	6	7	0	4	5	5	3	5
AC114490.2	658	450	354	491	527	524	415	357
AL121992.2	0	0	0	1	0	0	0	0
AF287957.1	3	6	29	32	0	3	10	13
AC093668.3	3	2	2	5	3	3	3	5
AL031848.2	2	1	1	1	3	0	0	0
MIR92B	0	0	0	0	0	0	0	0
AC005828.6	3	1	4	7	5	9	5	7
AP003392.5	0	3	4	1	0	0	1	0
AC112187.3	4	0	4	0	0	0	0	0
AL355802.2	148	116	89	105	155	127	70	89
AL031118.1	6	5	6	5	9	2	2	0
AP002360.2	0	0	1	0	1	0	0	0
AC044810.3	1	3	1	1	3	3	1	0
AL021368.1	3	0	0	0	1	1	0	0
AC091544.5	0	1	0	0	0	0	0	0
7SK	1	0	1	2	2	0	0	0
AC010424.2	0	0	2	0	3	0	0	0
AP002789.1	0	1	1	0	0	0	1	0
RP11-216P16.2	5	4	0	3	4	2	1	4
AC139792.1	0	0	0	2	0	2	1	1
AL109930.1	153	121	68	106	54	41	39	38
AL445209.1	1	1	2	1	1	3	5	7
AC080013.3	0	3	1	2	0	2	0	0
AC009994.1	0	1	0	0	0	0	0	0
AL118558.3	1	3	1	2	6	8	0	1
RP5-850O15.4	2	0	0	1	1	0	0	3
AL031055.1	0	1	1	1	1	3	4	2
AC104794.4	44	27	25	58	26	15	30	14
AC008875.1	3	0	0	2	3	1	0	0
AL080317.2	12	6	6	18	3	6	12	7
AC008667.4	2	0	0	2	0	1	0	0
AL589666.1	206	197	155	232	349	320	193	165
AC011337.1	11	5	5	8	1	4	1	3
AC008494.3	25	20	8	31	28	25	23	32
AL121906.1	0	1	1	0	1	0	1	0
AL590822.2	7	5	5	6	5	12	4	5
AL603832.3	1871	1240	949	1244	1205	1146	867	884
Z97200.1	2	1	1	1	5	5	0	1
AC008897.3	12	3	8	5	6	4	4	7
BMS1P4	31	29	21	23	42	42	18	30
AL109910.2	0	0	0	0	0	0	0	1
AL662844.3	0	0	0	0	0	0	0	0
SMIM32	0	0	0	0	0	0	1	0
AC019080.3	1	5	4	0	3	2	4	4
PLS3-AS1	3	4	8	7	7	0	0	2
AC008937.3	29	24	9	19	23	29	17	11
AC012213.4	18	5	8	7	5	0	4	1
AL022345.9	2	0	0	0	1	0	0	0
AL445222.1	6	0	4	9	7	2	2	4
RP1-224A6.9	9	29	6	8	34	18	4	12
U7	0	2	0	0	0	0	0	0
AC012557.1	4	2	2	3	3	5	3	6
AC073389.2	8	6	14	1	6	5	2	1
LINC02343	0	0	2	2	2	1	0	0
AC087501.4	17	4	13	19	9	4	7	9
SNORD11B	1	4	3	4	1	1	0	1
AL162258.1	2071	1285	1127	1419	1351	1348	1206	1258
AC073195.1	2	2	0	1	3	1	2	3
LINC01215	2	2	3	5	6	0	2	0
AL096865.1	49	33	24	39	7	17	38	40
AL589740.1	4	1	28	31	45	14	2	5
AC104118.1	8	9	8	4	13	7	10	4
AC114810.1	2	1	6	1	7	1	8	8
AC026979.2	37	23	6	16	32	26	21	18
AC024060.1	130	42	51	24	42	23	24	39
AC005740.4	1	1	2	1	3	2	0	0
AC025754.2	4	0	0	0	1	0	1	0
AC073508.1	0	0	0	0	0	0	0	0
AGAP11	4	2	8	4	15	14	2	3
AP001330.5	8	3	8	3	0	3	5	7
MIR98	0	3	2	0	0	3	0	1
AL136162.1	0	1	3	1	3	0	0	0
AC016747.2	0	4	0	0	2	1	1	1
OR10AE1P	0	0	0	0	0	4	1	2
AC026790.1	2	1	0	0	0	0	0	0
AC064834.1	1	1	0	0	4	0	0	1
AC007744.1	19	18	28	40	87	52	28	34
AL109811.3	23	16	10	4	5	14	13	18
AL357518.1	0	0	0	0	0	0	0	0
MIR4791	0	0	0	1	0	0	0	0
MIR4466	0	0	0	0	0	0	0	0
AC025627.4	0	0	2	2	6	1	3	2
AL161716.1	0	0	2	1	4	0	0	2
AC091826.2	0	0	3	5	0	4	0	2
AC137590.1	0	2	0	1	1	0	1	0
AL357054.3	1	0	0	0	2	2	0	0
AL035530.2	12	8	15	10	21	17	10	23
AL139286.2	6	2	6	1	1	3	1	1
AC012467.1	0	2	0	0	0	0	0	0
AL357568.2	6	4	5	6	3	3	2	1
AC005828.7	4	0	2	2	5	6	5	7
5S_rRNA	0	0	2	2	2	1	2	2
AC008972.1	0	1	0	0	0	0	1	0
CTD-2541M15.4	13	18	8	24	10	4	7	7
AC016877.3	0	0	0	0	0	0	1	0
AL353135.1	0	0	0	0	4	2	2	0
AL603756.1	116	134	93	162	196	207	108	119
OR2AS2P	0	0	0	0	0	0	0	0
AC012073.1	1	2	0	2	2	5	3	1
AC104187.1	16	7	6	6	14	18	4	3
AC103724.4	0	1	0	4	0	0	0	0
AC098614.4	0	1	1	2	0	0	0	1
AL590426.2	1	1	17	8	8	10	1	2
MIR376C	0	0	0	1	0	0	0	0
AC017076.1	3	2	1	9	0	1	1	1
AC093423.3	67	52	30	42	60	53	22	15
LINC01954	2	0	0	2	0	0	3	0
AC007100.1	1	2	19	11	14	11	1	0
AC021860.1	1	0	0	0	0	0	0	0
AC100803.3	4	3	1	1	0	0	0	0
AC026786.2	5	6	4	5	12	7	2	5
AC090948.1	0	0	0	1	0	0	0	0
AC021321.1	4	3	4	4	3	0	0	0
AL583856.2	0	0	0	2	0	1	0	0
ADAM6	1	1	4	0	0	0	0	0
U47924.1	27	41	13	33	48	28	25	30
AC120053.1	2	2	2	3	11	2	7	5
AC141002.1	3	1	0	0	0	0	3	0
RDM1P4	0	0	0	1	0	0	0	0
AC012467.2	35	6	8	20	17	7	29	17
AC226119.2	3	1	2	0	2	0	0	0
AL359643.2	7	7	12	5	3	4	1	5
AC012640.4	1014	528	352	445	537	429	690	631
AL158211.2	0	0	0	0	3	0	3	2
SNORD58B	116	109	61	64	138	101	77	70
AC023302.1	0	0	1	0	0	0	1	0
AL008726.1	107	88	74	68	97	45	20	27
BX248123.2	0	0	1	0	1	2	0	0
AL139424.1	6	3	0	8	2	1	1	1
AC013400.1	3	0	2	5	2	3	1	0
AL354872.2	3	2	3	1	3	4	15	1
AC126118.1	6	2	2	3	2	0	3	2
AC019080.4	0	0	1	0	0	2	0	0
AC034229.3	3	5	4	2	0	1	1	1
AC010904.2	7	2	1	4	1	5	7	3
FO704657.1	4	5	2	4	65	47	11	14
AC037487.3	0	0	1	0	0	0	0	0
AL139274.2	13	10	7	10	12	8	11	4
AL121944.1	19	12	12	20	20	22	8	7
AC100814.1	5	0	0	7	3	0	2	1
AL137784.2	79	49	44	80	81	87	53	31
U1	5	0	1	0	0	1	0	0
AC008592.5	4	5	0	0	0	0	1	0
AC010240.3	0	0	1	0	0	0	0	1
AC064807.4	0	1	2	0	0	2	0	0
SNORA74	0	0	1	2	0	0	0	1
AC073218.2	5	6	0	4	1	0	0	1
AL162258.2	109	101	95	143	136	115	98	91
ANKRD34A	14	17	4	4	1	5	5	8
AL136984.1	7	12	6	6	2	2	6	6
SNORD14A	10	5	4	3	5	4	2	2
MIR139	1	0	0	0	0	0	0	0
AP002907.1	51	26	30	41	25	17	33	19
AC010245.2	2	2	2	0	7	4	1	0
AC016405.2	0	0	0	0	0	0	0	0
MIR1914	2	0	0	4	0	0	1	1
AL445647.1	11	3	2	8	3	1	6	10
GTF2H5	1019	708	515	719	1417	1121	673	704
AC091965.4	0	0	0	1	0	1	0	0
AL499627.2	1	0	0	0	0	0	0	0
AC007390.2	108	71	74	87	100	92	90	66
RNU6-6P	0	0	0	1	0	0	1	0
AC013472.3	50	68	20	35	67	35	43	25
AC016575.1	0	2	0	0	0	0	0	0
U91328.20	1	0	1	2	12	4	0	0
AL365181.2	5	1	3	1	2	0	5	3
AC122710.3	0	0	1	0	0	0	0	0
AC004492.1	5	0	4	4	6	9	1	2
AC090186.1	8	4	0	3	2	2	1	1
AC124045.1	20	16	5	10	4	4	5	7
AL139423.1	17	6	1	6	7	4	1	0
AC004233.3	2	4	2	1	1	0	1	0
MIR502	0	0	0	0	1	0	0	0
AC008972.2	0	0	1	0	0	2	2	0
AC093628.1	1	2	2	0	0	0	0	1
AL137127.1	69	45	38	58	55	56	49	54
AC091979.2	1	0	2	0	0	0	2	1
AC025181.2	8	10	6	5	10	8	2	7
AC080013.4	1	3	3	2	4	2	2	0
AL512413.1	0	0	0	1	0	2	0	0
RP4-758J24.5	62	38	49	36	31	29	27	46
AC087623.2	7	7	1	1	4	1	1	4
AC091614.1	3	1	1	0	0	0	1	0
Metazoa_SRP	2	0	5	5	1	0	0	0
AL024498.1	3	3	3	0	9	1	0	4
AL513218.1	5	12	6	15	8	20	7	4
AL133406.3	1	0	0	2	0	0	2	0
AC026741.1	1	0	1	1	3	3	1	0
Z84492.1	49	42	26	30	67	57	45	41
AL691432.2	37	27	6	14	14	19	21	24
AC244517.1	0	0	0	3	1	1	0	1
AC008906.2	2	0	0	1	2	4	0	0
AC011374.2	0	0	1	0	0	1	0	0
AL136131.3	24	25	19	33	16	8	37	28
AC233992.3	1	0	1	3	1	3	1	2
AC006058.3	3	0	0	0	0	0	0	0
AC008966.2	2	2	2	0	2	0	2	3
AP006545.2	0	0	0	1	0	0	0	1
AL359715.3	9	3	7	6	11	13	6	7
AC091946.2	2	0	0	0	2	4	2	3
AC103810.6	2	1	1	2	0	2	0	0
AL451064.1	0	0	0	0	0	0	0	0
LINC01607	3	3	2	2	2	5	2	0
AC113349.2	0	0	0	0	0	0	0	0
AC022400.5	6	3	2	1	8	11	1	5
AL390719.2	1	0	0	0	1	1	0	0
LYRM4-AS1	15	19	15	23	25	38	21	12
FGF14-AS2	26	15	7	8	19	10	6	14
AC025171.4	4	8	1	1	7	2	0	2
NFYC-AS1	60	69	43	80	57	66	57	44
ARF4-AS1	9	12	7	6	14	22	7	6
AC013403.2	2	4	2	1	0	1	1	2
AC112211.1	13	1	4	9	8	2	1	3
AL365330.1	6	7	7	9	10	9	4	3
AC244517.2	3	3	2	0	2	0	1	1
AC055822.1	3	10	0	5	3	6	4	2
AC008280.3	6	5	6	1	4	0	6	3
AC107373.2	0	0	0	0	0	1	0	0
AL139022.2	3	0	5	1	0	3	0	2
AC087623.3	7	3	9	5	0	2	3	3
AL589739.1	0	0	0	0	0	0	1	0
AL024498.2	580	298	276	340	536	554	480	378
AF106564.1	0	0	1	0	1	0	1	1
AC005972.2	0	5	1	4	3	4	5	7
SNORD5	0	0	1	0	0	0	0	0
AL606537.1	1	3	3	0	3	1	0	0
CASC15	37	31	39	42	42	33	33	32
AL355385.1	9	13	2	1	11	4	4	7
AC138696.2	5	2	3	1	4	1	2	3
U47924.2	529	387	176	237	346	325	241	260
AC026703.2	0	0	1	1	0	0	0	0
AL050343.2	2	5	1	5	3	0	2	5
AC011306.1	1	3	10	5	9	2	1	0
AC012557.2	14	3	4	4	4	1	8	8
AC135507.1	741	419	280	332	431	379	475	396
AC005041.3	1	1	1	0	2	0	0	0
AP003392.6	2	8	1	3	5	4	2	1
AL024508.2	28	23	9	21	57	68	21	20
AC100812.1	0	0	0	0	1	1	0	0
AL356512.1	14	29	16	22	36	36	25	11
HIST2H2AA4	111	73	33	52	94	84	48	45
AC097358.2	5	0	1	6	0	1	3	0
AC004775.1	0	0	0	1	3	0	0	3
AL451050.2	0	0	0	0	0	0	0	0
AC114760.2	90	75	6	15	22	16	48	39
MIR484	0	0	0	0	0	1	0	0
AL645940.1	0	0	0	0	0	0	0	0
AC108865.2	0	0	0	0	0	1	0	0
AC005072.1	4	3	3	7	2	1	2	2
AC103810.7	0	0	0	0	0	0	0	2
AL645933.2	0	0	0	0	0	0	0	0
AL136304.1	20	13	10	7	20	12	7	10
RP11-592B15.9	0	1	0	0	0	1	0	0
AL136985.2	1	0	0	0	0	0	0	0
MIR3666	1	0	0	0	3	0	0	0
AC136188.1	0	0	1	0	2	1	0	0
RP11-503E24.3	4	0	0	0	1	0	0	1
AC008945.1	1043	725	360	608	536	555	269	173
AL590438.1	0	0	0	0	0	0	0	1
AL645939.4	0	0	0	0	0	0	0	0
AC011373.1	4	0	0	2	1	0	0	0
AC004908.1	18	8	4	4	13	1	9	1
AL160275.1	0	0	0	0	0	0	0	0
AL356277.3	1	0	11	7	4	1	0	0
AC080013.5	2	0	1	1	3	3	0	0
AL138831.2	2	2	2	1	0	0	0	0
AP003117.2	0	0	0	1	0	1	0	0
AC022893.3	0	2	5	2	1	2	0	0
AC113361.1	2	2	0	1	1	1	0	3
AC044849.1	706	719	533	769	608	551	478	468
LINC01749	5	2	2	3	0	0	2	0
AC034198.2	5	1	0	1	0	3	0	1
AC009686.2	0	0	0	0	0	0	0	2
AC034236.3	1	0	2	0	2	0	0	0
AC021242.3	32	36	26	49	28	25	25	26
AL138724.1	34	41	14	22	27	25	16	11
IER3-AS1	4	3	0	0	5	2	3	2
LINC00551	0	1	1	0	5	5	5	2
AC092687.3	13	10	1	6	0	6	8	6
AL031963.3	20	15	9	13	11	6	6	4
AL512329.2	0	3	1	3	2	1	1	0
TPTE2P2	7	12	9	6	17	16	7	4
LINC02084	0	0	0	1	0	0	0	1
AL451165.2	52	67	38	78	48	41	32	22
MIR665	0	0	0	0	0	0	0	0
U6	0	1	1	0	0	0	0	0
AC083964.1	159	69	38	58	51	30	75	61
RP3-326L13.3	0	0	0	1	0	0	1	3
SNORD96A	9	10	5	2	10	9	6	5
AC018709.1	0	1	3	1	6	1	0	0
AC091544.6	1	0	2	2	0	0	0	0
AP002360.3	0	1	0	1	1	0	2	1
BX004987.1	0	0	0	1	2	0	0	0
AC096721.1	0	0	1	0	0	1	0	0
AC096887.1	49	55	31	50	76	66	53	48
AC104113.1	0	3	0	0	0	0	0	1
IFNL4P1	2	0	0	0	0	0	0	0
AL133255.1	1	5	1	5	0	3	2	2
AL021368.2	14	12	19	25	28	18	9	4
AL162424.2	0	0	0	0	0	0	0	0
AL022345.1	0	0	0	0	0	0	2	0
AL445309.1	16	0	5	5	4	0	4	2
AP003355.2	5	0	1	0	1	0	0	2
AC026801.2	9	12	6	4	29	25	16	2
AC012629.2	27	45	52	84	21	10	11	15
NUDT3	447	383	254	303	591	566	253	270
RP11-1002K11.1	1	0	0	2	1	1	0	2
AC007128.2	1	0	2	1	1	3	0	0
AL353581.1	0	0	2	0	0	0	2	0
AC002044.1	1	0	0	3	2	0	0	0
KMT2B	126	62	66	68	87	64	39	39
AC011816.2	2	0	1	1	0	2	0	2
AC093297.2	35	18	35	23	23	21	18	29
AC067838.1	7	1	3	6	2	3	0	3
AL137003.2	13	21	25	17	11	5	6	6
LINC01115	2	1	1	1	0	0	0	0
AC107952.2	2	0	0	0	1	0	3	2
SNORD114-21	0	0	0	0	0	1	0	0
AL031775.1	122	56	55	57	109	96	84	77
AC103810.8	0	0	0	0	0	0	0	0
AC092354.1	6	2	0	0	5	1	0	0
AL080317.3	66	68	49	64	51	59	36	30
U4	8	3	1	2	5	1	4	1
AC116036.2	0	0	0	1	0	2	3	0
AC005014.2	1	2	0	2	1	1	1	1
AL160408.5	0	0	0	0	0	2	0	1
AL158211.3	3	0	0	0	0	0	0	0
AC074032.1	306	204	142	177	313	273	174	128
AC008035.1	14	11	14	8	8	13	15	18
AC092354.2	15	4	3	1	4	4	3	1
AL591167.1	0	0	0	3	0	0	0	0
AC009102.2	3	0	3	1	0	0	1	0
Z97832.2	13	10	10	20	8	6	7	12
AC026979.3	4	1	6	0	2	1	1	0
AL008729.2	23	11	13	9	12	6	19	15
MIR3976	0	0	1	0	2	0	0	0
AL356258.1	3	2	3	2	7	5	0	0
AC025171.5	0	3	0	0	2	2	1	1
AC006270.3	21	18	6	1	22	28	31	32
AC016405.3	0	0	0	0	0	0	0	0
AC007682.3	0	0	3	0	0	1	1	0
AC015802.5	2	3	0	1	4	2	0	4
AL022345.2	0	0	0	0	0	1	0	2
POM121C	182	156	137	185	407	288	125	132
IFNL4	4	0	0	3	0	1	0	0
AC005392.3	2	0	0	0	0	0	3	0
AL138916.2	1	1	2	5	1	1	1	3
AC103810.9	3	1	0	1	0	2	0	0
AL031775.2	0	5	2	3	3	6	1	2
AL365181.3	7	1	0	3	1	0	1	2
AC108102.1	0	5	5	0	0	2	1	0
AL022394.1	0	1	1	0	1	0	1	0
AC022384.1	19	20	16	28	17	42	10	16
AC116312.1	0	0	1	0	0	1	0	0
FAM47E-STBD1	250	186	185	243	164	162	69	76
AC034229.4	0	2	1	0	1	1	3	5
AC090607.4	37	10	21	26	33	29	30	29
AL513477.2	6	1	2	1	1	1	0	0
AC009902.3	1	0	7	4	1	2	1	0
BX284668.6	6	1	3	2	3	2	2	0
AL450270.1	2	5	0	0	1	0	0	3
AL356056.3	41	13	14	17	27	32	21	9
AC104117.5	0	0	0	0	0	0	0	0
AL031432.3	2	3	0	1	0	3	1	2
AC137630.3	82	57	70	89	135	108	68	68
CUX2P1	0	0	0	0	0	0	1	0
AL645608.6	3	0	1	1	0	0	0	0
AC080013.6	4	3	0	1	1	1	0	2
AL353588.1	11	2	2	4	3	3	4	2
OR13Z2P	0	0	0	1	0	0	0	0
AL118558.4	1	0	3	0	0	0	0	0
AL158850.1	5	0	10	5	4	5	2	4
AL135925.1	57	40	38	32	30	26	8	17
AL139246.5	2	0	0	0	0	0	1	0
AL391244.3	8	3	5	0	6	13	2	5
AC087045.2	2	1	0	0	0	0	0	0
AC113194.1	0	0	0	0	0	0	0	0
MIR432	1	0	0	2	1	0	0	0
AC139795.3	0	0	0	1	0	1	0	1
SNORD115-40	0	0	0	0	0	0	0	0
AP005328.2	2	0	4	0	2	1	0	5
U91328.1	54	38	33	34	32	34	8	13
AL357054.4	1	2	2	5	8	5	1	5
AL021807.1	3	3	2	0	1	0	0	1
AL512283.1	0	1	0	1	10	3	1	1
AC006273.1	0	0	0	1	0	0	0	0
SNORD113-5	2	0	0	1	0	0	0	0
AL024507.2	102	101	72	77	134	108	88	82
AC144521.1	0	0	5	1	3	5	1	1
AL020996.3	125	76	50	75	108	96	108	75
AC010857.1	0	1	1	0	2	0	0	2
OR13Z3P	0	0	1	0	1	0	0	0
AC254633.1	5	1	0	1	1	0	4	0
AC022001.3	3	8	1	2	1	4	0	1
AL392183.1	4	4	5	3	1	1	0	0
AL132656.3	6	7	2	2	2	5	4	5
AL109659.2	1	3	1	0	1	0	1	0
OR1X1P	1	1	1	1	1	0	2	1
AC090948.2	4	5	1	1	5	0	3	0
AL662844.4	0	0	0	0	0	0	0	0
AC104958.2	3	3	1	1	2	0	1	0
AC104964.3	13	10	7	3	5	4	5	7
AL357078.3	0	0	2	0	0	0	0	0
AL136982.6	3	4	4	4	8	3	0	2
AC087752.4	3	0	0	0	3	0	0	1
AL121992.3	8	18	3	20	8	5	7	2
AL645608.7	0	0	0	0	1	0	0	1
CFAP206	11	10	9	13	4	5	8	2
AL355578.1	0	6	2	0	3	2	0	0
AL158211.4	0	0	0	0	3	0	3	2
AC036214.2	5	2	8	7	15	13	6	9
AC079610.3	0	0	0	0	0	1	2	1
LINC01023	13	10	14	17	15	26	10	10
AC099522.2	8	3	0	2	2	2	1	1
AC090948.3	3	0	3	0	3	0	0	1
SNORA28	3	10	0	1	6	5	1	1
AC005014.3	0	1	0	0	0	0	0	0
AL662797.1	2	0	0	0	0	0	0	0
AL021368.3	2	0	2	1	2	1	1	2
AL137246.1	3	0	0	0	1	0	0	0
MIR4787	0	0	0	0	0	0	0	0
AC023813.4	0	1	0	1	1	0	0	0
LINC02538	5	0	0	0	0	1	2	4
AC017048.3	1	0	0	0	0	0	0	0
AC012087.1	0	0	0	0	0	0	0	0
AC009974.1	1	3	0	0	5	0	0	2
GTF2IP13	16	13	19	9	15	8	5	4
U91328.2	52	45	44	36	31	30	21	16
OR51F3P	2	1	4	0	0	3	0	0
AL512343.2	4	9	1	2	2	1	1	1
AC016745.2	1	0	9	3	7	2	0	1
AC012511.1	1	0	0	0	0	0	1	0
AF250324.1	0	1	6	5	5	2	2	2
AC109347.2	2	1	1	1	0	4	0	0
AC005162.3	6	9	15	12	12	16	7	4
OR5BL1P	0	2	3	2	0	4	0	2
AL138762.1	3	0	2	1	2	1	1	2
MUSTN1	11	3	2	2	1	2	0	2
AL596325.2	8	3	3	8	22	16	1	4
LINC02098	0	0	0	4	0	3	1	1
AC027271.1	6	2	3	7	6	1	1	0
AP000347.1	109	87	77	90	66	49	43	44
AL031587.3	2	1	1	0	2	0	3	2
AL592494.3	1	0	0	0	0	0	3	0
AC139887.4	11	3	5	9	18	4	4	2
ZSWIM8-AS1	80	58	54	57	50	38	31	39
AL451049.1	1	1	3	0	0	0	0	0
AL359091.3	7	2	1	3	3	4	1	4
OR10AH1P	9	7	2	1	7	1	0	7
AC063944.3	17	3	2	4	10	3	6	2
AC016394.1	12	10	5	10	13	22	10	15
AC007308.1	10	8	15	20	22	19	17	8
AC010655.3	83	80	62	94	588	436	133	163
ZNF595	159	84	59	72	146	121	198	187
AC073073.2	4	6	8	5	3	4	8	11
AC015982.1	18	6	2	11	17	15	9	22
AC016252.1	0	0	2	2	0	1	0	0
MAGI1-IT1	12	26	14	11	34	28	9	5
AC026464.6	58	67	31	43	49	61	37	41
AC093673.2	0	0	1	3	1	0	2	1
AFAP1-AS1	18	0	4	2	5	8	5	2
AC010735.2	28	8	6	2	5	3	0	0
AP000919.4	7	6	8	5	19	16	11	7
AC021146.12	0	0	0	0	0	0	0	0
AC016542.1	5	1	2	2	2	1	1	0
AL731563.3	6	3	6	4	4	5	7	8
AC067750.1	33	28	19	16	19	20	14	18
AC097504.2	0	0	0	0	1	0	0	0
OR51F5P	0	3	13	7	5	3	1	0
AC006504.7	69	51	32	39	43	49	38	41
DOC2B	6	0	0	0	0	3	0	3
AC006027.1	93	56	54	48	45	30	38	23
AC015712.5	0	0	0	1	22	18	0	1
AP003121.1	1	1	6	9	7	7	3	0
AC097468.3	7	2	3	0	4	1	3	5
GTF2IP20	52	51	36	21	68	86	22	26
AC079766.1	0	0	2	0	0	0	0	3
AC005020.2	231	200	151	170	177	180	168	150
AC110792.3	4	2	4	0	0	3	2	0
AL358472.2	22	18	6	11	21	13	6	4
AC024933.1	8	8	1	4	6	9	10	8
AP000317.2	707	599	762	846	954	852	598	626
AC090425.1	1	2	1	0	0	1	1	0
AC021097.1	21	4	8	7	16	8	9	10
AC073352.1	1	0	0	0	1	1	2	1
AC093635.1	9	3	2	3	6	9	2	4
OR51C4P	3	5	4	7	2	1	0	1
U62317.1	2	0	0	1	0	1	0	2
AC012306.2	32	17	9	31	16	22	12	13
AL590560.1	17	7	5	7	3	3	7	6
AL021707.6	12	5	1	10	2	1	7	11
AL391497.1	0	0	1	0	0	0	0	0
PCDHB16	3	9	3	16	11	5	5	4
AC004019.18	8	3	5	3	8	2	4	8
OR5AO1P	0	0	1	0	5	0	0	0
AC124016.1	15	10	10	10	10	6	15	6
AC112503.1	2	0	1	2	0	0	0	0
AL355987.2	25	38	28	52	70	53	16	18
FAM223B	0	0	0	0	0	2	0	0
AC004471.2	7	4	0	1	0	1	4	0
OR9I3P	0	1	6	5	3	2	1	0
AC006333.2	62	30	18	18	30	29	19	20
AP005329.3	35	20	17	36	58	51	54	44
AC004832.4	7	13	4	8	13	11	11	4
LINC02018	17	17	17	11	18	22	15	12
AC092807.2	1	0	2	0	0	0	1	1
AC010997.3	1	1	3	3	0	0	0	1
AC073107.1	37	32	11	30	32	13	20	17
Z94160.2	0	0	1	5	0	0	0	1
GAS6-DT	2	2	2	7	6	2	0	0
AL359091.4	6	4	1	1	1	2	0	0
AC007620.3	4	5	4	2	3	3	7	0
MESTIT1	2	2	2	5	3	0	4	4
AC010913.1	9	2	8	5	3	2	5	2
AP005137.2	0	1	0	1	1	0	0	1
AC046143.2	1	1	0	2	1	3	1	5
RP11-458D21.6	2	0	0	1	2	4	0	0
AC133041.1	2	5	1	1	1	3	4	0
AC019069.1	14	1	4	12	3	3	1	10
AL139098.2	0	1	1	0	1	0	0	0
AL121658.1	6	2	2	5	10	1	0	1
AC112236.2	1	0	0	1	0	0	0	0
AC006483.2	1	0	0	1	0	0	0	1
AL022322.1	22	17	7	4	10	2	15	19
