	GSM5138279	GSM5138280	GSM5138281	GSM5138282	GSM5138283	GSM5138284	GSM5138285	GSM5138286	GSM5138287	GSM5138288
SLC39A7	38.61	49.38	38.95	38.14	50.99	52.4	54.22	66.71	49.04	40.21
THOC6	22.07	17.79	26.61	22.68	21.47	29.99	12.99	15.52	12.66	22.14
HSD17B8	4.14	3.75	5.3	5.31	10.58	4.93	7.75	6.29	4.19	7.25
ZNF557	15.79	17.99	17.41	13.44	10.2	13.69	12.17	15.54	11.69	17.52
MMEL1	0	0.05	0.01	0	0	0.13	0.21	0.14	0	0.07
DCAF10	64.78	61.76	67.71	64.6	40.81	63.04	54.41	59.27	63.03	75.3
OR13A1	2.11	1.3	1.93	2.87	2.91	0.72	2.33	2.6	2.51	2.5
OR5H6	0	0	0.04	0	0	0	0	0	0	0
CALB1	0.92	0.31	0.6	0.49	0.8	1.04	2.35	1.57	0.4	0.91
OR5H2	0	0	0.07	0	0	0	0	0	0	0.02
OR7E91P	0.36	0.28	0.32	0.31	0.52	0.32	0.08	0.02	0.1	0.3
OR4K5	0	0	0.05	0	0	0	0	0	0	0
OR2H2	0.15	0.83	0.15	0.49	0	0.77	0	0.19	0.07	0.15
OR51G1	0.11	0	0	0	0	0	0	0	0	0
OR11H2	0.45	0.29	0.26	0.51	0	0.34	0.03	0.25	0.07	0.14
OR51B4	0	0.06	0.1	0	0	0.14	0	0	0	0.11
OR51B2	0	0.06	0.16	0	0.2	0	0	0.14	0	0.15
RDBP	47.82	32.92	52.68	53.93	58.83	50.73	51.73	49.34	39.02	47.65
RSG1	2.67	1.96	1.85	2.09	2.97	3.08	2.19	1.46	1.46	1.97
ZXDC	85.1	96.46	102.3	79.49	52.3	108.75	84.03	64.38	69.1	89.72
BHLHE41	4.34	6.83	9.86	8.51	8.14	14.26	5.08	6.49	14.12	8.87
HMGN5	1.24	4.74	2.86	2.1	1.82	1.58	0.96	1.24	1.5	2.17
FCRL2	0	0.12	0.32	0.24	0	0.14	0.8	0.16	0.69	0.29
B3GNT4	1.84	1.53	1.44	1.29	1.56	1.52	0.96	1.22	0.64	1.08
BCL2L14	0.68	0.79	0.46	0.3	0.62	0.38	0.75	0.1	0.14	0.22
CALB2	10.88	8.99	9.64	7.43	13.65	13.35	13.31	14.1	13.13	18.09
LST1	3.65	4.41	10.71	2.1	5.21	1.63	19.97	2.1	6.39	11.34
NOX5	0.53	0.56	0.55	0.84	0	0.32	0.21	0.25	0.09	0.14
PLA2G7	5.08	3.39	2.6	1.17	3.81	2.17	3.53	0.89	1.06	4.6
GLB1L	5.73	4.83	5.58	6.31	5.25	4.91	4.57	5.69	6.84	7.32
KREMEN2	0	0	0.06	0	0	0	0	0	0	0.05
ZBED2	0	0.09	0.32	0	0	0	0.32	0.04	0.47	0.14
LRFN3	6.07	5.79	6.97	4.85	4.15	6.91	3.85	2.41	3.76	4.33
C17orf62	35.47	39.34	40.49	31.8	46.42	49.01	47.11	28.36	25.22	32.05
TFEB	2.2	1.76	2.79	0.95	1.18	0.54	3.37	0.91	1.1	1.88
HAUS3	16.11	19.39	15.07	14.62	8.16	15.96	12.03	12.2	11.53	15.33
LRRC2	1.79	0.66	1.76	0.69	0.38	0.63	0.16	0.47	0.29	0.56
FYCO1	93.22	104.6	98.44	72.19	38.28	90.28	63.31	59.25	56.45	83.93
BIRC7	0.34	0.03	0.04	0	0	0.14	0	0.04	0.16	0.15
WDR25	6.41	5.71	10.1	3.89	6.27	7.38	8.31	5.09	5.93	8.8
C16orf53	15.53	13.24	16.58	11.88	18.14	13.4	14.62	16.36	10.73	14.72
ULBP3	7.56	3.98	5.38	4.61	2.08	7.36	5.13	5.21	6.54	6.6
DLEU2L	1.05	1.33	2.31	0.95	1.26	1.47	1.58	1.34	1.79	1.47
OR52N1	0	0	0	0	0	0	0	0	0	0.02
S100G	0	0.03	0	0	0	0	0.11	0	0.11	0
OR4F5	0	0.09	0.02	0	0	0	0	0	0	0
OR2A4	0	0	0.01	0	0	0.11	0	0.16	0	0.17
OR4K1	0	0	0.01	0	0	0	0	0	0	0
STL	2.65	2.73	3.81	2.01	2.18	2.72	2.19	2.89	2.13	3.84
FAM65A	24.46	25.98	32.42	24.21	10.92	26.12	15.43	12.84	12.04	19.21
C2orf47	7.63	5.72	6.83	8.56	7.82	6.43	8.4	9.09	9.6	8.09
EPM2A	7.91	7.37	8.33	7.76	8.18	8.88	8.77	9.34	10.64	10.44
NKAIN1	37.05	42.53	138.71	23.33	57.29	75.32	137.34	98.05	327.93	129.22
GCC1	31.09	28.31	33.72	34.54	31.99	34.95	27.16	27.64	26.05	29.87
ATP13A3	160.27	211.58	248.57	192.97	115.36	178.4	157.93	325.48	246.48	288.32
TTC13	9.15	12.87	9.22	9.43	10.3	9.64	11.95	11.48	9.93	10.04
EPS8L3	1.37	0.37	0.52	0.35	0.24	0.21	0.13	0.12	0.43	0.17
ABHD8	6.43	7.76	9.99	6.9	11.87	12.25	9.89	6.55	7.19	9.02
NKAP	8.63	7.85	6.68	8.27	5.43	8.78	8.77	8.24	7.67	6.24
CDC73	52.28	75.54	47.34	55.89	32.69	51.86	61.2	67.7	61.58	53.16
GPR172A	23.72	12.3	34.48	20.8	34.24	23.34	19.06	21.99	19.63	33.69
SPAG16	8.93	9.64	9.97	8.89	12.09	7.22	11.95	10.92	12.37	8.75
TMEM231	1.13	0.66	0.5	0.46	0.72	0.61	0.43	0.35	0.63	0.58
CORO7	5.68	3.83	8.48	7.99	3.73	5.21	4.87	2.68	3.79	6.99
CHPF	76.86	72.6	107.31	66.41	72.32	115.45	84.46	59.95	74.2	128.36
CARS2	48.91	37.17	32.83	47.69	57.17	42.45	45.02	51.23	56.32	32.05
RNF128	1.18	1.23	1.55	0.38	0.16	0.91	0.35	1.94	0.86	1.56
MRPL24	36.49	25.89	30.02	29.23	33.75	33.34	40.56	43.87	33.55	33.78
C10orf76	35.04	37.24	35.38	26.35	22.65	32.14	43.82	34.46	29.18	35.39
MUL1	21.86	19.27	25.87	24.52	24.15	27.16	21.18	21.72	21.22	28.76
SAP130	15.49	17.91	16.26	17.36	11.24	18.41	18.85	8.63	15.93	13.8
RNF219	5.64	6.06	5.32	6.46	4.95	5	6.2	6.99	6.42	6.3
CEP97	19.81	18.37	17.58	21.04	14.05	10.6	14.46	20.09	15.43	16.93
CALCA	0	0	0.05	0	0	0	0	0	0	0.09
TCTN1	19.93	14.7	20.16	21.25	23.63	18.84	16.87	15.79	19.23	21.37
ADIPOR2	160.74	131.25	163.23	143.47	89.7	107.96	140.61	152.56	137.38	224.17
CERS4	8.53	5.57	13.07	16.48	21.29	8.54	8.96	2.78	5.49	9.48
PGBD5	3.12	2.78	1.73	3.13	0.84	0.61	1.74	1.9	0.26	0.81
FAM118B	8.52	9.44	10.96	11.9	12.29	9.58	14.46	12.06	11.63	10.06
RIC3	5.11	2.9	3.97	4.32	2.22	4.12	3.58	2.47	1.8	2.94
METTL21D	5.34	5.45	5.52	6.46	3.53	3.89	4.71	6.02	6.12	5.75
ACSS3	66.39	76.83	107.09	96.84	111.57	138.33	116.92	125.05	139.11	137.56
NAA16	18.08	24.42	22.54	18.67	11.18	21.17	20.03	19.14	22.59	22.01
TMCO7	21.28	17.87	23.97	18.49	15.09	19.51	22.35	20.63	20.47	25.15
CCNJL	13.36	8.59	12.55	9.28	8.2	8.4	14.81	8.39	8.3	7.77
HMBOX1	101.67	85.05	77.45	93.31	60.89	100.71	67.7	65.66	66.17	78.5
RNASEH2B	12.5	12.51	14.52	16.3	19.96	9.55	15.11	14.32	14.79	13.3
SNRNP25	6.2	6.31	9.84	8.1	12.75	8.53	10.88	11.07	8.97	8.06
GALNT14	0	0.15	0.57	0	0.28	0	1.04	0.37	0.14	0.38
C6orf211	11.99	9.7	9.19	8.39	7.64	6.02	10.64	11.71	10.02	12.25
NDNF	2.11	5.71	4.41	12.25	2.24	0.79	2.25	0.29	1.09	0.62
TNFAIP8L2	1.02	0.56	2.12	0.56	1.64	0.43	3.18	0.37	0.59	1.51
OGFRL1	28.25	21.31	30.46	31.33	29.34	24.94	26.28	12.1	22.28	30.54
SH3TC2	0.08	0.37	0.4	0.03	0	0	0.16	0.37	0.26	0.43
OCEL1	3.99	3.58	5.27	2.75	4.41	4.6	3.32	3.21	3	5.2
C1orf54	0.06	0.37	0.32	0.39	0.44	0.21	0.29	0.14	0.56	0.32
EFTUD1	37.46	44.09	44.37	49.46	31.27	44.26	39.78	50.26	33.69	44.09
FAM184A	9.14	13.35	9.9	10.68	7.04	11.52	9.2	7.98	9.1	11.46
FAT4	80.11	87	149.03	92.79	86.41	90.86	61.2	92.53	84.21	69.96
SCRN3	12.03	11.97	9.55	15.49	14.05	7.92	17.99	15.09	13.97	11.57
CCDC121	3.53	2.53	3.39	3.83	1.32	2.96	1.58	2.82	2.09	3.48
ARMC7	2.93	4.52	3.11	3.29	4.49	3.98	3.61	1.52	2.33	2.76
TMEM53	6.37	4.71	2.92	4.95	4.81	5.14	5.67	5.42	3.86	5.04
C22orf46	3.7	5.17	4.86	2.38	1.36	6.9	5.19	3.69	4.34	4.47
ROGDI	7.05	4	5.33	4.8	7.2	8.06	7.11	3.63	3.1	6.42
ARSJ	1.05	1.02	0.84	0.33	2.59	0.82	1.6	1.05	0.57	0.6
CHMP6	11.41	8.36	11.15	8.21	13.19	10.39	12.38	10.55	7	9.73
SRD5A3	5.43	7.33	8.5	6.08	6.55	6.9	12.14	7.58	8.1	9.15
EFCAB1	0.19	0.25	0.09	0	0.78	0.11	0	0.06	0	0.06
PANK3	144.38	167.78	184.71	179.05	155.52	108.27	195.2	195.98	187.67	212.29
AKIRIN1	120.19	102.7	99.12	121.01	109.98	110.06	75.24	95.85	99.52	103.29
MCPH1	22.78	25.76	28.79	26	19.48	17.57	25.13	27.18	25.46	28.67
MAP7D3	30.96	27.91	32.81	26.23	15.01	28.7	25.16	26.77	22.23	26.28
AIMP2	18.87	14.26	18.21	16.73	17.76	17.61	18.21	18.26	21.13	23.79
C16orf57	13.21	14.16	19.86	12.53	5.59	15.19	10.99	10.98	10.02	19.58
RHBDF2	11.94	13.18	14.14	13.33	8.1	17.16	16.58	10.18	10.6	12.68
TMEM204	1.13	0.97	1.28	0.03	1.06	1.22	1.34	0.25	0.71	0.6
HECTD3	56.09	42.83	46.51	40.59	46.98	49.19	35.69	40.47	32.16	36.43
BEND5	0.64	0.43	0.58	1.33	1.22	1.24	2.83	0.47	0.66	0.57
RPAP3	22.56	24.35	20.22	26.23	14.31	22.23	18.9	25.04	21.85	26.11
ARHGAP10	27.8	19.53	21.2	20.01	14.19	13.7	12.86	16.86	13.32	13.85
DYNC2H1	43.76	39.26	37.5	45.21	24.96	39.48	37.14	49.25	31.09	34.39
PPP1R3B	74.89	80.69	99.51	85.55	64.48	80.45	90.05	59.21	66.23	93.04
NEIL1	5	5.14	6.2	4.93	6.51	4.85	2.94	1.63	1.74	3.43
HSPBAP1	8.48	9.1	10.43	6.44	6.03	6.16	8.31	9.93	6.99	12.88
NARG2	31.56	27.57	37.8	35.09	25.9	24.16	35.37	33.12	34.35	40.52
DHX40	66.13	72.3	96.09	108.02	111.03	66.94	96.17	83.38	96.87	100.37
PLEKHF2	14.19	10.72	11.56	14.4	10.94	10.12	14.25	13.77	16.59	13.07
FLJ13197	3.36	1.56	2.98	2.53	1.34	1.34	1.9	1.01	1.44	1.78
PARP8	32.18	29.05	35.31	32.98	26.44	22.89	63.85	26.42	39.09	30.63
C3orf52	12.07	6.8	11.43	9.85	5.35	9.31	4.04	23	11.1	15.45
ZCCHC6	189.65	299.16	279.97	230.37	190.24	341.55	248.03	365.83	364.19	245.31
NLRX1	7.61	4.86	8.4	4.67	6.07	7.11	9.92	4.04	4.62	7.63
FN3KRP	7.39	8.75	11.65	10.13	9.36	10.93	10.29	10.04	11.04	13.28
ZNF329	14.57	20.72	25.86	17.55	18.72	17.48	18.93	20.98	17.96	24.51
VEPH1	0.08	2.51	2.55	1.95	2.18	1.54	4.92	1.42	2.49	1.81
FASTKD1	14.19	9.07	8.88	10.72	9.96	9.17	15.05	14.84	14.7	10.69
OGFOD2	1.79	2.67	3.94	1.65	5.27	4.3	3.15	2.84	2.64	4.23
SMC6	492.13	400.11	344.42	350.47	176.75	195.9	184.61	299.08	230.01	280.1
VTCN1	0.26	0.68	0.29	0	0.2	0	0	0	0	0.13
C22orf29	11.28	9.53	10.26	6.99	5.61	10.94	8.58	8.72	5.72	7.21
MLF1IP	1.52	1.22	5.06	1.63	7.98	1.45	3.18	1.5	2.69	1.72
ZDHHC14	7.24	4.71	7.58	5.77	7.24	6.31	3.93	4.1	5.17	6.06
C11orf61	8.99	8.69	13.19	10.51	6.29	8.96	7.59	8.02	7.76	9.54
SAP30L	17.91	16.21	21.46	19.97	21.51	16.5	17.08	14.57	15.43	14.6
NCRNA00341	0.96	0.83	1.64	0.87	0.62	0.81	1.95	0.39	1	0.85
STEAP4	2.89	3.1	9.75	3.01	4.67	1.27	23.39	2.49	3.96	7.59
GAL3ST4	9.1	4.1	6.81	5.68	3.85	7.24	4.71	2.82	3.44	5.99
QTRTD1	31.56	32.49	35.72	34.59	25.74	34.72	30.48	38.66	34.42	38.91
ZNF322	28.63	26.26	25.02	32.1	33.29	19.1	34.06	26.34	26.88	29.86
YRDC	7.76	6.99	12.12	8.77	11.93	9.33	7.86	8.82	4.84	13.08
MANEA	14.19	18.24	17.91	14.31	15.25	10.91	20.11	12.94	18.46	17.63
GALNT12	0.36	1.25	0.73	0.43	0.56	0.75	1.63	1.3	1.67	0.96
FAM164C	8.99	7.82	5.93	4.74	4.73	7.52	9.97	4.2	7.92	8.97
C14orf169	10.04	6.88	9.09	6.42	5.65	5.95	6.68	6.57	4.69	7.82
ZMAT4	0.81	0.37	0.66	0.24	0.32	0.32	0.51	0.8	0.26	0.65
ZYG11B	58.78	62.81	76.85	70.74	52.38	52.06	75.61	63.62	82.11	81.16
C17orf101	16.84	13.51	18.77	15.03	24.47	26.05	20.45	19.62	19.53	19.68
C11orf80	18.48	21.23	22.47	16.38	12.77	15.64	6.9	11.54	9.97	14.27
LRRK1	2.97	2.68	4.05	1.35	2.35	2.01	6.39	1.83	2.39	2.83
PRKRIP1	1.95	2.05	1.37	1.37	1.46	1.95	1.63	1.03	1.97	1.86
NOL9	51.67	53.26	57.23	48.75	37.54	54.83	41.33	40.29	45.54	51.51
GLT25D1	80.6	59.88	104.63	70.75	65.02	101.07	95.93	81.48	79.79	122.87
MORC4	22.41	15.18	13.95	19.73	9.62	11.63	12.73	21.21	11.63	14.87
IPO4	44.27	32.43	31.71	28.48	25.74	48.11	36.07	38	34.46	33.73
GTDC1	42.48	54.12	50.68	49.97	45.42	39.87	43.45	45.23	49.28	55.82
IGFLR1	3.18	3.66	4.87	3.35	5.33	3.39	5.67	2.49	2.54	4.03
CCDC51	7.82	5.35	7.84	6.21	10.48	7.42	7.89	12.39	7.3	8.74
NPEPL1	4.72	2.21	2.79	2.82	2.79	3.53	2.46	2.1	0.91	1.94
PPCS	22.69	15.71	16.47	19.38	24.73	16.23	22.27	24.83	21.69	13.82
TBL1XR1	167.35	230.45	224.96	182.29	156.79	164.25	274.93	223.97	284.99	260.52
AAGAB	44.81	43.82	44.47	43.15	37.06	46.79	51.92	60.09	53.05	58.63
VPS37B	59.32	52.33	83.46	55.19	54.74	63.29	37.89	45.81	60.05	66.67
ANKRD55	13.21	10.41	10.79	5.07	4.93	7.11	4.79	4.8	4.11	7.38
SUV39H2	8.83	8.86	11.13	8.98	7.62	10.44	10.59	10.55	11.06	9.39
ZNF768	19.14	14.9	18.42	22.21	25.06	20.85	20.56	9.87	16.29	16.84
THAP9	5.3	5.6	6.21	6.25	7.7	3.92	7.43	6.45	6.24	8.26
WDR59	24.68	25.36	25.58	17.42	10.6	22.91	21.26	21.14	20.8	23.67
LIN28A	2.52	2.3	2.55	1.87	0.72	1.93	1.5	1.09	0.53	1.47
PALB2	11.28	12.53	10.28	11.12	7.52	7.27	13.45	12.88	12.65	10.89
SH3D21	2.29	5.31	2.45	2.18	1.16	6.07	3.07	2.86	1.87	2.08
NSUN7	7.31	5.96	6.87	5.93	6.11	8.11	6.23	5.42	7.49	6.69
NARS2	12.69	10.94	12.69	15.62	10.24	7.63	13.13	15.72	15.06	16.6
E2F8	1.37	0.86	1.03	0.92	1.68	1	0.43	0.64	0.73	0.81
KCTD17	6.56	3.83	8.04	6.26	7.92	3.58	4.84	5.26	2.77	5.87
TBC1D17	27.16	20.87	14.41	18.21	23.13	28.09	16.66	13.44	15.5	13.24
C17orf42	2.22	2.61	3.79	3.01	2.59	2.9	4.36	4.25	5.57	4.82
BBS10	14.66	15.04	11.25	13.35	13.91	11.23	16.52	14.38	14.8	12.7
TTLL7	5.41	6.97	4.84	6.82	2.06	4.64	4.76	6.84	4.67	5.45
ZBBX	0	0.12	0.19	0.68	0	0	0	0.04	0	0.04
C10orf68	0.86	2.27	1.25	1.92	1.14	0.97	1.5	2.27	1.87	1.51
CXorf36	2.33	2.89	4.26	2.18	2.63	2.65	2.65	1.46	1.76	2.1
ZNF419	2.22	6.94	3.37	3.81	4.91	3.53	3.82	3.09	3.01	2.95
CLIP4	18.99	17.91	23.59	16.44	14.77	12.32	21.98	21.16	19.09	24.38
ECHDC3	22.97	14.5	24.46	25.32	36.02	26.12	31.17	25	24.45	30.27
C6orf103	0	0.06	0.05	0	0	0.07	0	0.04	0	0
LMAN1L	0	0	0.01	0	0	0	0	0.06	0	0
MAFK	34.64	38.08	47.92	46.6	50.71	51.97	25.35	28.69	25.13	40.1
ZNF385D	0.23	0.09	0.22	0.3	0.04	0.14	0.11	0	0	0.04
SLC25A22	15.15	11.66	15.64	14.42	14.91	18.76	15.16	12.61	14.17	14.2
ZFAND1	11.96	15.4	11.68	17.79	15.47	9.66	16.47	15.06	15.87	12.51
SNIP1	25.92	24.21	34.3	28.33	26.68	36.76	27.27	37.28	29.91	34.78
ASB13	7.44	4.92	8	8.31	12.65	6.07	9.68	7.05	7	9.05
ZNF750	1.24	2.5	1.54	0.46	0	1.24	0.16	0.49	0.66	0.53
DHRS12	17.76	15.34	15.79	10.57	6.92	14.49	12.46	11.81	7.86	7.85
ZNF668	12.97	9.87	13.22	7.9	11.31	13.72	9.14	9.52	7.83	10.61
FZD3	15.21	10.2	13.99	17.52	8.98	6.97	11.2	15.09	9.36	8.98
GEMIN7	7.44	3.33	4.53	4.02	3.85	4.59	4.52	4.82	5.4	4.88
C1orf115	11.07	24.18	34.77	23.6	50.05	69.14	63.15	21.19	31.76	39.58
ISOC2	17.69	11.86	22.3	15.08	25.86	18.59	17.73	14.14	13.82	26.89
ELMO3	0.75	1.64	1.38	0.54	0.56	1.86	1.79	1.34	0.4	1.27
C15orf29	13.53	16.59	20.41	22.87	25.82	14.85	23.1	18.22	19.69	20.79
TXNDC15	52.73	42.29	58.54	40.96	37.84	40.3	42.27	58.71	52.07	68.07
MCTP1	2.67	4.41	5.74	1.63	6.8	1.4	10.83	2.18	4.59	5.58
GRTP1	1.8	10.06	7.28	16.25	23.05	19.7	11.47	8.45	19.02	6.48
ZFHX4	0.45	1.85	1.39	1.11	0.34	0.64	0.11	1.11	0.17	0.82
ACBD4	4.34	5.55	5.06	3.83	5.33	4.37	4.25	3.67	2.54	4.51
MICALL2	17.76	10.49	8.88	11.11	11.83	14.44	7.19	8.49	6.23	7.53
MTERF	6.92	4.43	5.33	5.85	3.77	4.57	7.54	7.19	5.52	7.26
CCDC82	46.81	76.18	37.72	44.94	28.9	40.29	38.77	51.81	49.45	41.93
IQCA1	0.56	0.88	1.09	1.12	1.52	0.61	1.07	0.16	0.11	0.26
LRRC31	0	0.09	0.01	0	0	0.07	0	0.04	0	0
C7orf10	3.35	1.99	2.46	1.14	2.39	2.2	3.4	2.84	1.94	2.28
MYH14	0.02	0.76	0.07	0	0.04	0	0	0.12	0	0.04
RERGL	0	0	0.01	0	0	0	0	0.02	0	0
KLHL36	21.41	19.18	33.31	28.06	35.08	44.5	38.31	16.16	34.92	37.5
ZNF665	6.88	5.91	7.7	4.46	3.47	5.41	5.8	4.2	4.24	5.53
CLMN	2.44	5.26	5.42	2.99	3.03	4.14	4.92	3.5	4.26	4.18
SHFM1	11.05	11.71	7.94	12.36	10.28	13.35	13.85	21.43	14.17	6.34
FBXO31	41.37	43.92	51.39	38.64	54.44	49.87	36.76	32.54	40.49	39.48
GSDMD	63.29	54.55	100.17	80.37	129.39	72.49	68.95	66.32	51.79	94.66
C12orf49	14.02	15.06	20.91	15.55	13.87	13.47	11.55	15.95	12.6	20.09
ALG9	26.26	23.9	26.48	28.4	25.2	21.67	27.08	24.3	27.55	30.49
ZNF408	5.09	4.43	8.19	6.91	10.1	7.67	4.38	4.84	4.04	5.37
ARMC5	20.79	15.23	27.85	22.84	26.58	23.72	16.55	12.16	12.44	19.82
UGT2A3	0	0	0.06	0	0.04	0	0	0	0	0
TFPI2	44.66	45.13	109.94	57.99	49.09	66.19	48.9	165.81	122.42	83.54
ALS2CR8	9.4	9.52	8.6	8.79	10.28	5.86	8.34	7.3	8.97	7.15
SHCBP1	7.69	7.27	14.67	8.05	7.62	11.55	13.85	16.3	18.47	16.36
HHIPL2	0.15	0.15	0.32	0.12	0	0.29	0	0.04	0.14	0.13
HPS6	11.6	9.33	15.54	13.54	12.05	10.66	12.08	10.02	10.02	19.07
NBLA00301	0	0.03	0.07	0.2	0	0	0.03	0	0	0
VASH2	3.44	2.79	3.48	10.08	1.04	0.64	1.23	1.07	0.69	1.39
GSTCD	9.53	8.42	8.86	8.27	9.52	7.76	9.92	9.27	9.07	9.47
TTC21B	28.85	28.73	23.45	31.62	20.73	23.73	27.59	24.48	27.65	23.5
PTCD2	5.09	3.89	5.18	2.62	5.33	2.13	7.17	4.97	5.86	5.14
SLTM	93.85	107.81	68.78	65.81	47.67	84.44	67.27	98.01	74.48	65.6
MMRN2	1.43	3.8	5.52	1.61	1.3	2.08	1.79	1.28	1.53	1.29
EHMT1	85.96	89.98	81.29	71.31	62.1	99.54	69.09	59.47	57.28	68.5
AGMAT	4.36	6.25	6.62	5.56	4.21	8.26	5.59	7.03	7.17	5.68
NIPAL2	8.67	6.06	5.75	6.5	5.33	4.51	6.66	6.18	5.83	5.91
TLE6	0	0	0.68	0	0.04	0.11	0.48	0.21	0	0.1
MOBKL2B	30.17	23.47	29.02	41.19	21.11	30.52	25.69	16.75	23.63	27.71
ZNF552	6.97	8.92	8.52	6.53	2.89	5.43	6.79	4.45	5.24	7.32
WDR78	1.95	3.95	2.98	6.38	6.77	2.47	6.04	3.13	5.2	3.72
ST7	46.07	37.44	31.07	26.72	18.58	19.27	27.75	42.04	33.39	36.54
CATSPERB	0	0.54	0.51	0.03	0.12	0	0.05	0.25	0.2	0.1
ARHGAP28	14.4	8.49	8.09	22.18	4.77	2.08	3.93	5.15	3.46	2.8
CAMKMT	1.56	1.16	1.23	0.8	1.64	1.95	1.74	2.27	1.03	1.05
CCDC48	0.15	0.39	0.47	0.33	0.52	0.43	0.16	0.16	0.2	0.11
CLMP	28.65	50.05	12.83	20.57	15.41	18.61	16.58	33.28	31.55	19.82
METTL8	26.67	31.84	33.97	24.56	18.16	27.71	26.95	25.37	22.73	26.24
NAA40	11.94	11.02	10.79	9.2	10.18	10.66	12.27	6.26	8.47	10.81
ZMYM1	9.3	11.63	9.25	9.47	10.08	7.65	12.67	9.89	9.17	9.84
JMJD5	3.06	2.51	3.65	1.8	3.27	2.7	4.14	1.77	2.36	2.77
QSER1	117.58	121.11	121.12	118.15	66.59	99.56	100.64	89.93	107	116.23
GEMIN6	4.87	4.34	5.8	5.91	5.03	3.03	8.31	6.53	6.62	6.31
PEAK1	109.87	137.77	125.89	90.31	50.61	124.77	84.03	129.91	116.78	153.03
LONRF3	7.29	5.62	12.32	7.05	4.45	12.63	6.6	10.67	10.13	11.68
PIP4K2C	13.83	14.41	16.53	13.73	15.71	12.59	15.19	12.94	14.45	15.79
TMC5	1.77	2.35	2.65	4.21	1.28	0.93	0.37	0.31	1.1	0.94
CCDC102B	2.58	2.5	2.32	2.43	2.79	1.52	1.87	2.72	1.26	0.82
ARHGEF5	16.11	20.64	20.79	12.47	7.58	12.4	7.83	13.95	13.03	12.99
NHEJ1	9.7	5.94	9.35	7.24	7.18	7.65	8.69	7.03	8.66	8.49
AGBL2	0.34	1.51	0.63	0.49	0.24	1.11	0.61	0.39	1.1	1
ZBTB3	6.6	4.29	4.53	4.72	5.63	5.09	4.84	3.65	3.37	4.67
FAM124B	0	0.09	0.37	0.08	0.48	0	0	0.37	0.06	0.11
ZDHHC11	1.17	1.22	0.93	0.75	0.44	1.72	0.37	0.87	0.84	0.67
RNF122	10.43	17.4	22.87	10.27	12.23	6.52	10.16	5.77	7.02	7.16
C7orf63	6.26	5.01	6.02	7.6	3.01	6.54	4.6	7.34	5.84	7.4
TMEM180	10.79	6.79	10.51	5.08	4.17	7.15	5	4.78	3.6	10.13
CSPP1	43.44	55.37	54.96	63.74	48.61	54.13	45.43	31.94	36.35	37.77
PDZD3	0.15	0.11	0.11	0	0.16	0.07	0.05	0	0	0.03
FAM57A	4.66	3.69	6.17	7.61	4.15	5.3	4.06	3.89	3.7	5.71
EPHX3	0.88	0.65	0.35	0.43	0	0.54	0.27	0.1	0.34	0.17
TM4SF20	0.88	1.25	1.19	0.81	0.54	0.61	0.91	0.87	0.59	0.77
NCRNA00115	1.56	2.47	1.28	1.63	1.38	1.11	1.79	0.8	0.63	1.3
SNX22	23.85	18.82	34.51	26.11	20.47	16.03	32.19	24.44	16.45	16.26
FLJ13224	4.94	3.64	3.9	3.24	4.05	3.08	3.02	1.92	1.51	2.07
NEK11	9.12	9.41	7.9	11.33	8.2	9.78	17.91	10.22	9	11.12
TUBAL3	0	0	0.2	0	0	0	0	0	0	0
ZNF669	9.14	6.45	10.71	5.98	7.44	5.93	6.28	5.48	5.16	6.61
RBFA	24.4	20.89	26.05	21.46	28.06	24.52	26.42	24.42	22.23	24.25
C11orf63	1.58	2.42	2.32	2.36	1.52	1.15	1.66	1.15	1.24	1.76
TREML2	0.96	1.94	5.17	2.43	2.24	0.38	12.91	1.46	2.3	3.92
C13orf34	4.96	4.74	4.37	6.06	4.15	3.94	5.32	3.46	3.11	4.11
TCTN2	6.6	6.79	9.68	8.24	7.92	10.86	9.63	9.27	10.02	9.13
ALG13	26.22	28.76	23.4	26.15	16.5	17.75	24.81	26.03	25.45	22.31
CPSF7	63.52	66.37	64.49	66.12	46.52	60.44	60.1	41.09	47.14	61.73
BAALC	2.03	0.68	1.4	0.16	0.24	0.47	0.8	0.43	0.37	0.59
RPAP2	17.41	17.48	14.73	17.49	13.43	11.39	20.67	16.53	15.5	13.8
CBLL1	26.47	37.83	31.46	34.06	31.37	34.86	41.36	24.59	44.32	41.61
NUDT18	3.18	2.58	3.85	3.09	5.29	3.89	4.22	3.48	2.2	3.31
RABEP2	14.91	13.27	25.58	12.95	15.49	16.16	16.84	16.94	13.96	19.79
THSD4	1.69	40.75	1.91	1.46	1.16	1.25	2.01	2.16	1.06	1.08
UBA5	35.55	32.75	24.4	23.78	15.49	21.14	27.94	34.58	23.9	29.96
DCAKD	16.45	12.51	19.19	13.82	19.88	16.43	15.51	12.26	10.82	16.72
CCDC134	9.87	13.67	14.58	10.37	18.7	18.02	18.66	15.7	18.69	23.42
ZNF212	6.03	6.31	6.46	4.72	4.83	7.45	5.29	5.3	5.42	4.89
ZC3H14	95.9	107.04	102.91	114.04	69.05	101.78	106.01	97.48	108.48	115.71
PODNL1	0.75	0.14	0.22	0.14	0.16	0.04	0.16	0.12	0	0.11
MAP9	35.68	29.42	19.25	26.8	13.45	13.65	16.84	24.23	17.26	15.68
