ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0038061	NIK/NF-kappaB signaling	10/267	142/18614	3.9327092681105e-05	0.00055057929753547	0.000384640199537861	NFKBIA/CD27/TLR2/CD14/IL18/ADGRG3/NLRP12/IL1B/NLRP3/HAVCR2	10
BP	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	12/267	204/18614	4.0409911573071e-05	0.000563658840103792	0.000393777698688052	MMP9/CD27/CARD16/NLRP12/PTGS2/NR4A1/LCK/CLEC7A/NLRP3/VIL1/CASP1/S100A8	12
BP	GO:0000302	response to reactive oxygen species	12/267	205/18614	4.23836366998684e-05	0.000589023874136633	0.000411497964951874	IL6/TNFAIP3/NQO1/MMP9/UCP2/FOS/NR4A3/NCF1/MMP2/APOD/LRRK2/IL10	12
BP	GO:0031100	animal organ regeneration	7/267	66/18614	4.36925310235482e-05	0.000604998039063291	0.000422657676209352	IL6/SLC7A5/UCP2/NR4A3/HAMP/LCP1/IL10	7
BP	GO:0032703	negative regulation of interleukin-2 production	5/267	28/18614	4.38733784256358e-05	0.000605293082715862	0.000422863796653592	TNFAIP3/ZFP36/PTPRC/HAVCR2/GATA3	5
BP	GO:1904892	regulation of receptor signaling pathway via STAT	9/267	116/18614	4.49789459556476e-05	0.000618297539694663	0.000431948840260567	IL6/SOCS3/KIT/HES1/SOCS1/PTPRC/IL10RA/IL10/CRLF2	9
BP	GO:0050829	defense response to Gram-negative bacterium	8/267	90/18614	4.53078893838532e-05	0.000620570874809888	0.000433537014890908	IL6/SERPINE1/TREM1/CXCL6/LYZ/NFKBIZ/RARRES2/MPEG1	8
BP	GO:0062197	cellular response to chemical stress	16/267	349/18614	4.7364180413047e-05	0.00064352039307853	0.000449569777702116	IL6/TNFAIP3/NQO1/MMP9/CLN3/NR4A2/FOS/NR4A3/NCF1/PTGS2/NLRP3/MMP2/CASP1/RCSD1/LRRK2/IL10	16
BP	GO:0042088	T-helper 1 type immune response	6/267	46/18614	4.76618952174662e-05	0.00064352039307853	0.000449569777702116	IL18/LEF1/NFKBIZ/IL1B/CCR2/HAVCR2	6
BP	GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	6/267	46/18614	4.76618952174662e-05	0.00064352039307853	0.000449569777702116	IL6/KIT/HES1/SOCS1/IL10RA/IL10	6
BP	GO:2000273	positive regulation of signaling receptor activity	6/267	46/18614	4.76618952174662e-05	0.00064352039307853	0.000449569777702116	TGFA/HBEGF/NCF1/CCL2/CCR2/IL10	6
BP	GO:1901224	positive regulation of NIK/NF-kappaB signaling	7/267	67/18614	4.81991893551107e-05	0.000648467107848546	0.000453025602076031	CD27/TLR2/CD14/IL18/NLRP12/IL1B/HAVCR2	7
BP	GO:0048017	inositol lipid-mediated signaling	11/267	176/18614	4.88712046662918e-05	0.00065518498411276	0.000457718777570105	IL18/NCF1/PLCG2/KIT/OSM/PIK3CG/PIK3AP1/PTAFR/ADAP2/FGR/GATA3	11
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	5/267	29/18614	5.23960094302394e-05	0.000695071537686462	0.000485583922507702	IL6/PTGS2/IL1B/C5AR1/C3AR1	5
BP	GO:0010955	negative regulation of protein processing	5/267	29/18614	5.23960094302394e-05	0.000695071537686462	0.000485583922507702	SERPINE1/CARD16/IL1R2/PLAU/LRRK2	5
BP	GO:1903318	negative regulation of protein maturation	5/267	29/18614	5.23960094302394e-05	0.000695071537686462	0.000485583922507702	SERPINE1/CARD16/IL1R2/PLAU/LRRK2	5
BP	GO:0060711	labyrinthine layer development	6/267	47/18614	5.39856972513608e-05	0.000713664583176526	0.000498573209898868	SOCS3/JUNB/HEY1/LEF1/HES1/IL10	6
BP	GO:0042093	T-helper cell differentiation	7/267	69/18614	5.83575491328632e-05	0.0007687796576739	0.000537077151741775	IL6/JUNB/IL18/LEF1/NFKBIZ/NLRP3/GATA3	7
BP	GO:2000404	regulation of T cell migration	6/267	48/18614	6.09628551909799e-05	0.000800322050500269	0.000559112982592924	CCL20/WNT5A/DOCK8/RIPOR2/CCR2/APOD	6
BP	GO:0097421	liver regeneration	5/267	30/18614	6.21428910423421e-05	0.000813000443498779	0.00056797023464471	IL6/SLC7A5/UCP2/HAMP/IL10	5
BP	GO:0042063	gliogenesis	15/267	320/18614	6.36229164423019e-05	0.000829502903718534	0.000579499018273526	IL6/EGR2/ID2/TLR2/CXCR4/SLC7A5/LEF1/CCL2/IL1B/HES1/CCR2/NOG/C5AR1/ADGRG6/S100A8	15
BP	GO:0045637	regulation of myeloid cell differentiation	12/267	214/18614	6.42481840332531e-05	0.000834786336377268	0.000583190077129529	TRIB1/TNFRSF11B/NFKBIA/ID2/NEDD9/LEF1/FOS/ZFP36/PF4/TNFAIP6/CCR1/EVI2B	12
BP	GO:0045779	negative regulation of bone resorption	4/267	16/18614	6.57630990204505e-05	0.000851553575711908	0.000594903838094106	IL6/TNFAIP3/TNFRSF11B/HAMP	4
BP	GO:0140895	cell surface toll-like receptor signaling pathway	6/267	49/18614	6.86418208071316e-05	0.000885806354225365	0.000618833171472816	TNFAIP3/NFKBIA/CD14/LY96/PIK3AP1/SCIMP	6
BP	GO:0016485	protein processing	13/267	250/18614	6.93949043183656e-05	0.000892489040623318	0.000623501762974646	SERPINE1/CLN3/CARD16/THBD/IL1R2/MMEL1/NLRP6/REN/TMPRSS4/CASP1/PLAU/LRRK2/TLL1	13
BP	GO:0034614	cellular response to reactive oxygen species	10/267	152/18614	7.00440748383143e-05	0.000893796511297346	0.000624415175053885	IL6/TNFAIP3/NQO1/MMP9/FOS/NR4A3/NCF1/MMP2/LRRK2/IL10	10
BP	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	7/267	71/18614	7.02033105868764e-05	0.000893796511297346	0.000624415175053885	IL6/JUNB/IL18/LEF1/NFKBIZ/NLRP3/GATA3	7
BP	GO:0045600	positive regulation of fat cell differentiation	7/267	71/18614	7.02033105868764e-05	0.000893796511297346	0.000624415175053885	ID2/ZFP36/RARRES2/PTGS2/ADIRF/GDF3/SULT1E1	7
BP	GO:0048732	gland development	18/267	441/18614	7.26325388379566e-05	0.00092163161321474	0.000643861055426772	IL6/TNFAIP3/ALDH1A3/ID2/TGFA/SLC7A5/UCP2/LEF1/CDH1/WNT5A/HAMP/TGM2/TUBB1/HES1/NOG/MMP2/GATA3/IL10	18
BP	GO:0002287	alpha-beta T cell activation involved in immune response	7/267	72/18614	7.68228696086956e-05	0.000968325472742163	0.00067648185233326	IL6/JUNB/IL18/LEF1/NFKBIZ/NLRP3/GATA3	7
BP	GO:0002293	alpha-beta T cell differentiation involved in immune response	7/267	72/18614	7.68228696086956e-05	0.000968325472742163	0.00067648185233326	IL6/JUNB/IL18/LEF1/NFKBIZ/NLRP3/GATA3	7
BP	GO:0050766	positive regulation of phagocytosis	7/267	73/18614	8.39429475469528e-05	0.00105456802315609	0.000736731759927595	CCL2/PLCG2/IL1B/CLEC7A/PTPRC/IL2RG/FPR2	7
BP	GO:0019722	calcium-mediated signaling	11/267	187/18614	8.4510787727995e-05	0.00105819778429047	0.000739267547330524	CXCR4/CCL20/EDNRB/PLCG2/CLEC7A/PTPRC/MCTP2/PLEK/LRRK2/CDH13/FPR2	11
BP	GO:0002730	regulation of dendritic cell cytokine production	4/267	17/18614	8.5030747879469e-05	0.00106120611004837	0.000741369193769055	PLCG2/KIT/CLEC7A/SCIMP	4
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	9/267	126/18614	8.58000637784134e-05	0.00106380863390621	0.000743187342944771	IL6/IL18/CD1D/IL1B/NLRP3/SH2D1B/PTPRC/SASH3/GATA3	9
BP	GO:0045471	response to ethanol	9/267	126/18614	8.58000637784134e-05	0.00106380863390621	0.000743187342944771	NQO1/CD27/CD14/FOS/HAMP/CYBB/SLC10A1/S100A8/GATA3	9
BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	13/267	258/18614	9.53920961363103e-05	0.00117609199692598	0.000821629622467502	TNFAIP3/CARD16/TRIM22/NLRP12/WNT5A/TRIM58/PLCG2/IL1B/CLEC7A/S100A4/NLRP6/CLEC4D/CASP1	13
BP	GO:0032755	positive regulation of interleukin-6 production	8/267	100/18614	9.61646382132959e-05	0.00117609199692598	0.000821629622467502	IL6/TLR2/WNT5A/PLCG2/IL1B/CLEC7A/SCIMP/PTAFR	8
BP	GO:0006968	cellular defense response	6/267	52/18614	9.64060651143858e-05	0.00117609199692598	0.000821629622467502	NCF1/LY96/CCR2/CLEC5A/C5AR1/KLRG1	6
BP	GO:0032692	negative regulation of interleukin-1 production	6/267	52/18614	9.64060651143858e-05	0.00117609199692598	0.000821629622467502	TNFAIP3/CARD16/IL1R2/NLRP12/NLRP3/IL10	6
BP	GO:0046638	positive regulation of alpha-beta T cell differentiation	6/267	52/18614	9.64060651143858e-05	0.00117609199692598	0.000821629622467502	IL18/NFKBIZ/SOCS1/NLRP3/IL2RG/SASH3	6
BP	GO:0002828	regulation of type 2 immune response	5/267	33/18614	9.99235078370873e-05	0.00121509547671125	0.000848877843231396	IL6/IL18/CCR2/NLRP3/GATA3	5
BP	GO:0050866	negative regulation of cell activation	12/267	225/18614	0.000103652366896701	0.00125641239618557	0.000877742256081695	TNFAIP3/ID2/RASSF5/THBD/SOCS1/RIPOR2/TNFAIP8L2/CCR2/PTPRC/HAVCR2/FGR/IL10	12
BP	GO:0071622	regulation of granulocyte chemotaxis	6/267	53/18614	0.000107419522094525	0.00128967729654072	0.00090098144790654	RARRES2/TNFAIP6/RIPOR2/C5AR1/RAC2/C3AR1	6
BP	GO:0010951	negative regulation of endopeptidase activity	10/267	160/18614	0.000107498870417929	0.00128967729654072	0.00090098144790654	SERPINA1/MMP9/SERPINE1/CD27/CARD16/PTGS2/NR4A1/SORL1/VIL1/SERPINB2	10
BP	GO:0002371	dendritic cell cytokine production	4/267	18/18614	0.000108096304770677	0.00128967729654072	0.00090098144790654	PLCG2/KIT/CLEC7A/SCIMP	4
BP	GO:0002830	positive regulation of type 2 immune response	4/267	18/18614	0.000108096304770677	0.00128967729654072	0.00090098144790654	IL6/IL18/NLRP3/GATA3	4
BP	GO:0046851	negative regulation of bone remodeling	4/267	18/18614	0.000108096304770677	0.00128967729654072	0.00090098144790654	IL6/TNFAIP3/TNFRSF11B/HAMP	4
BP	GO:0002532	production of molecular mediator involved in inflammatory response	8/267	102/18614	0.000110570144812753	0.00131505683203632	0.000918711845037162	IL6/SERPINE1/IL1R2/NCF1/ALOX5AP/CLEC7A/APOD/VAMP8	8
BP	GO:0090022	regulation of neutrophil chemotaxis	5/267	34/18614	0.00011578894850165	0.00137282272067269	0.0009590676721288	TNFAIP6/RIPOR2/C5AR1/RAC2/C3AR1	5
BP	GO:0045685	regulation of glial cell differentiation	7/267	77/18614	0.000118010187820958	0.00139046786519477	0.00097139474643077	IL6/EGR2/ID2/TLR2/CXCR4/HES1/NOG	7
BP	GO:0050853	B cell receptor signaling pathway	7/267	77/18614	0.000118010187820958	0.00139046786519477	0.00097139474643077	NFKBIA/NFKBIZ/PLCG2/LCK/TMIGD2/PTPRC/IGHA1	7
BP	GO:0045639	positive regulation of myeloid cell differentiation	8/267	103/18614	0.000118415497273038	0.00139092382864987	0.000971713287057229	TRIB1/ID2/NEDD9/LEF1/FOS/PF4/CCR1/EVI2B	8
BP	GO:0007369	gastrulation	11/267	196/18614	0.000128367243153189	0.00150316456951605	0.00105012579031751	DUSP2/ETS2/MMP9/LEF1/NR4A3/WNT5A/NOG/GDF3/MMP2/ITGB2/IL10	11
BP	GO:0048872	homeostasis of number of cells	14/267	304/18614	0.000134187637746824	0.00156648583880447	0.00109436266185102	IL6/TNFAIP3/ID2/CXCL6/ZFP36/NFKBIZ/HAMP/TRIM58/KIT/NLRP6/IKZF1/SASH3/GATA3/SIT1	14
BP	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	8/267	105/18614	0.000135489198674086	0.00157682828150149	0.00110158799567759	IL6/SOCS3/KIT/HES1/SOCS1/PTPRC/IL10RA/IL10	8
BP	GO:2001234	negative regulation of apoptotic signaling pathway	12/267	233/18614	0.000144000311355963	0.00167075590606888	0.00116720677287724	TNFAIP3/ITPRIP/MMP9/SERPINE1/NR4A2/ACKR3/PTGS2/IL1B/IER3/PF4/NOG/LRRK2	12
BP	GO:0043434	response to peptide hormone	17/267	427/18614	0.000155125334365049	0.00179434609323474	0.00125354811274452	BTG2/EGR2/SOCS3/TLR2/NR4A2/UCP2/FOS/NR4A3/RARRES2/EDNRB/PTGS2/IL1B/NR4A1/SORL1/SOCS1/CYBB/IL10	17
BP	GO:0010001	glial cell differentiation	12/267	235/18614	0.000155968604905863	0.00179861667785059	0.00125653158583575	IL6/EGR2/ID2/TLR2/CXCR4/LEF1/IL1B/HES1/NOG/C5AR1/ADGRG6/S100A8	12
BP	GO:0010466	negative regulation of peptidase activity	12/267	236/18614	0.000162265299003281	0.00186555922551045	0.00130329831862923	SERPINA1/PI3/MMP9/SERPINE1/CD27/CARD16/PTGS2/NR4A1/SORL1/CSTA/VIL1/SERPINB2	12
BP	GO:0061041	regulation of wound healing	9/267	137/18614	0.000162842619049344	0.00186654047333296	0.00130398382816425	TNFAIP3/SERPINE1/CXCR4/HBEGF/THBD/CLEC7A/VIL1/SERPINB2/PLAU	9
BP	GO:0002695	negative regulation of leukocyte activation	11/267	202/18614	0.000167315817995483	0.00190073472742159	0.0013278722757949	TNFAIP3/ID2/RASSF5/SOCS1/RIPOR2/TNFAIP8L2/CCR2/PTPRC/HAVCR2/FGR/IL10	11
BP	GO:0002544	chronic inflammatory response	4/267	20/18614	0.000167328782013393	0.00190073472742159	0.0013278722757949	TNFAIP3/NFKBIZ/S100A8/IL10	4
BP	GO:1903978	regulation of microglial cell activation	4/267	20/18614	0.000167328782013393	0.00190073472742159	0.0013278722757949	IL6/CTSC/PTPRC/LRRK2	4
BP	GO:0007568	aging	10/267	169/18614	0.000168661008558914	0.00191014885514185	0.00133444907950147	NQO1/CTSC/UCP2/FOS/EDNRB/PTGS2/HAMP/MMP2/APOD/IL10	10
BP	GO:0042509	regulation of tyrosine phosphorylation of STAT protein	7/267	82/18614	0.000175562442977495	0.00198239258528755	0.00138491927135756	IL6/SOCS3/IL18/KIT/HES1/OSM/SOCS1	7
BP	GO:0006887	exocytosis	15/267	351/18614	0.000176877942026376	0.0019913202137925	0.00139115620185043	SYTL3/NR4A3/ADGRE2/HCK/KIT/PIK3CG/CCR1/CCR2/PTAFR/ITGB2/VAMP8/RAC2/PLEK/FGR/LRRK2	15
BP	GO:0044403	biological process involved in symbiotic interaction	14/267	313/18614	0.00018170462245199	0.00203960750764157	0.0014248901878982	ANPEP/TREM1/CXCR4/CXCL6/TRIM22/LEF1/TRIM58/PF4/SLC10A1/CLEC5A/NLRP6/TMPRSS4/VAMP8/MPEG1	14
BP	GO:0050852	T cell receptor signaling pathway	9/267	140/18614	0.000191792066227877	0.00214648701849134	0.00149955728229093	NFKBIZ/PLCG2/LCK/CD3D/HLA-DPB1/PTPRC/BTNL8/GATA3/TRGC2	9
BP	GO:0048015	phosphatidylinositol-mediated signaling	10/267	172/18614	0.000194653617700481	0.00217210536928125	0.00151745451817279	IL18/NCF1/PLCG2/KIT/OSM/PIK3CG/PIK3AP1/PTAFR/FGR/GATA3	10
BP	GO:0010574	regulation of vascular endothelial growth factor production	6/267	59/18614	0.000196226368926403	0.00218323414576766	0.00152522919264294	IL6/PTGS2/IL1B/CCR2/C5AR1/C3AR1	6
BP	GO:0071347	cellular response to interleukin-1	8/267	111/18614	0.000199300643791037	0.00219839408065961	0.00153582007466107	IL6/CCL20/IL1R2/CCL2/IL1B/HES1/MMP2/CCL24	8
BP	GO:0002335	mature B cell differentiation	5/267	38/18614	0.000199327244002874	0.00219839408065961	0.00153582007466107	IL6/NFKBIZ/PLCG2/IL2RG/IL10	5
BP	GO:0009595	detection of biotic stimulus	5/267	38/18614	0.000199327244002874	0.00219839408065961	0.00153582007466107	TLR2/CD1D/LY96/CLEC7A/NLRP3	5
BP	GO:0033005	positive regulation of mast cell activation	4/267	21/18614	0.000204379862790532	0.00223463169863769	0.00156113603672549	NR4A3/VAMP8/FGR/CRLF2	4
BP	GO:0090026	positive regulation of monocyte chemotaxis	4/267	21/18614	0.000204379862790532	0.00223463169863769	0.00156113603672549	SERPINE1/CCR1/CCR2/FPR2	4
BP	GO:1903429	regulation of cell maturation	4/267	21/18614	0.000204379862790532	0.00223463169863769	0.00156113603672549	EDNRB/TRIM58/CLEC7A/LRRK2	4
BP	GO:0009410	response to xenobiotic stimulus	17/267	440/18614	0.000220943910847498	0.00240879654527416	0.00168280933912281	TNFRSF11B/NQO1/CXCR4/DUSP6/TGFA/CDH1/FOS/NFKBIZ/PTGS2/IL1B/LCK/CYBB/SLC10A1/MMP2/REN/GATA3/IL10	17
BP	GO:0009952	anterior/posterior pattern specification	11/267	209/18614	0.000225025156116792	0.00244626201234129	0.00170898308883149	BTG2/ETS2/BHLHE40/HEY1/LEF1/WNT5A/HES1/NKD1/NOG/GDF3/BHLHE41	11
BP	GO:0034113	heterotypic cell-cell adhesion	6/267	61/18614	0.00023610363584936	0.00254043201933705	0.00177477119681788	CD1D/IL1B/LCK/PTPRC/ITGB2/IL10	6
BP	GO:0007260	tyrosine phosphorylation of STAT protein	7/267	86/18614	0.000236365973333152	0.00254043201933705	0.00177477119681788	IL6/SOCS3/IL18/KIT/HES1/OSM/SOCS1	7
BP	GO:0032418	lysosome localization	7/267	86/18614	0.000236365973333152	0.00254043201933705	0.00177477119681788	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR	7
BP	GO:1990849	vacuolar localization	7/267	86/18614	0.000236365973333152	0.00254043201933705	0.00177477119681788	NR4A3/ADGRE2/KIT/PIK3CG/VAMP8/RAC2/FGR	7
BP	GO:0060759	regulation of response to cytokine stimulus	10/267	177/18614	0.000245439614483167	0.00263050253488457	0.00183769535910977	IL6/TNFAIP3/TLR2/CXCR4/CARD16/IL1R2/WNT5A/PTPRC/NLRP6/CASP1	10
BP	GO:0034104	negative regulation of tissue remodeling	4/267	22/18614	0.000246994683552062	0.00263971219548316	0.00184412932004178	IL6/TNFAIP3/TNFRSF11B/HAMP	4
BP	GO:0048708	astrocyte differentiation	7/267	87/18614	0.000253946888524538	0.0027063890310733	0.00189071042372793	IL6/ID2/IL1B/HES1/NOG/C5AR1/S100A8	7
BP	GO:0090303	positive regulation of wound healing	6/267	62/18614	0.000258296544120158	0.00274503386104168	0.00191770808814554	SERPINE1/CXCR4/HBEGF/THBD/CLEC7A/PLAU	6
BP	GO:0043087	regulation of GTPase activity	15/267	364/18614	0.000261575224648446	0.00277211285563185	0.00193662574438338	ARHGAP9/CCL20/NEDD9/RGS16/WNT5A/TGM2/CCL2/DOCK8/RIPOR2/RGL4/GRHL3/ADAP2/CCL24/LRRK2/ARHGAP15	15
BP	GO:0071346	cellular response to type II interferon	8/267	116/18614	0.000269686436262923	0.00285011236540816	0.00199111698141047	TLR2/CCL20/WAS/WNT5A/CCL2/HCK/CASP1/CCL24	8
BP	GO:0010573	vascular endothelial growth factor production	6/267	63/18614	0.000282096588453802	0.00296474918724024	0.00207120341077905	IL6/PTGS2/IL1B/CCR2/C5AR1/C3AR1	6
BP	GO:0070542	response to fatty acid	6/267	63/18614	0.000282096588453802	0.00296474918724024	0.00207120341077905	TLR2/UCP2/PTGS2/HES1/FFAR2/PTAFR	6
BP	GO:0009615	response to virus	16/267	408/18614	0.000286110533483366	0.00299862807744722	0.00209487154205035	IL6/TNFAIP3/TLR2/CXCR4/TRIM22/IL1B/NLRP3/RNF125/PTPRC/NLRP6/CASP1/VAMP8/WDFY4/FGR/GATA3/APOBEC3B	16
BP	GO:2000403	positive regulation of lymphocyte migration	5/267	41/18614	0.000287349869804969	0.00300332067779628	0.00209814983955027	CCL20/NEDD9/WNT5A/DOCK8/CCR2	5
BP	GO:0048568	embryonic organ development	17/267	453/18614	0.000309894230999247	0.00323005140772292	0.00225654619333749	ALDH1A3/SOCS3/JUNB/ID2/OSR2/HEY1/LEF1/WNT5A/RARRES2/KIT/HES1/CHRNA9/NOG/GDF3/GRHL3/GATA3/IL10	17
BP	GO:0019932	second-messenger-mediated signaling	13/267	292/18614	0.000321685639077428	0.00333289498706612	0.00232839374564617	CXCR4/CCL20/EDNRB/FPR1/PLCG2/CLEC7A/PTPRC/ADGRG6/MCTP2/PLEK/LRRK2/CDH13/FPR2	13
BP	GO:0032733	positive regulation of interleukin-10 production	5/267	42/18614	0.000322396536703549	0.00333289498706612	0.00232839374564617	IL6/TLR2/PLCG2/CLEC7A/SASH3	5
BP	GO:0045622	regulation of T-helper cell differentiation	5/267	42/18614	0.000322396536703549	0.00333289498706612	0.00232839374564617	JUNB/IL18/NFKBIZ/NLRP3/GATA3	5
BP	GO:0030223	neutrophil differentiation	3/267	10/18614	0.000325028319851115	0.00334189009624696	0.0023346778188136	TRIB1/LEF1/EVI2B	3
BP	GO:0031666	positive regulation of lipopolysaccharide-mediated signaling pathway	3/267	10/18614	0.000325028319851115	0.00334189009624696	0.0023346778188136	CD14/LY96/SCIMP	3
BP	GO:0051604	protein maturation	14/267	332/18614	0.000331508824532496	0.00339930940615213	0.00237479152254004	SERPINE1/CLN3/CARD16/THBD/IL1R2/SORL1/MMEL1/NLRP6/REN/TMPRSS4/CASP1/PLAU/LRRK2/TLL1	14
BP	GO:0045766	positive regulation of angiogenesis	10/267	185/18614	0.000349583607107875	0.0035653768961486	0.00249080793066675	SERPINE1/CXCR4/WNT5A/IL1B/CYBB/TMIGD2/C5AR1/CCL24/C3AR1/IL10	10
BP	GO:1904018	positive regulation of vasculature development	10/267	185/18614	0.000349583607107875	0.0035653768961486	0.00249080793066675	SERPINE1/CXCR4/WNT5A/IL1B/CYBB/TMIGD2/C5AR1/CCL24/C3AR1/IL10	10
BP	GO:0098581	detection of external biotic stimulus	4/267	24/18614	0.000350791049812389	0.00356809984715337	0.00249271021145082	TLR2/CD1D/LY96/CLEC7A	4
BP	GO:0032689	negative regulation of type II interferon production	5/267	43/18614	0.000360585870644776	0.00364816744860341	0.0025486462379889	CD96/NLRP6/HAVCR2/GATA3/IL10	5
BP	GO:0045687	positive regulation of glial cell differentiation	5/267	43/18614	0.000360585870644776	0.00364816744860341	0.0025486462379889	EGR2/ID2/TLR2/CXCR4/HES1	5
BP	GO:0070374	positive regulation of ERK1 and ERK2 cascade	11/267	222/18614	0.000377251243764492	0.00380662558202788	0.00265934667356941	CCL20/ACKR3/CCL2/CCR1/PTPRC/C5AR1/SCIMP/CCL24/HAVCR2/MARCO/FPR2	11
BP	GO:0050678	regulation of epithelial cell proliferation	16/267	419/18614	0.000383734915112607	0.00386177789903775	0.00269787663340372	TNFAIP3/TGFA/OSR2/ZFP36/NR4A3/WNT5A/EDNRB/CCL2/NR4A1/HES1/NOG/C5AR1/CCL24/GATA3/IL10/CDH13	16
BP	GO:0070613	regulation of protein processing	6/267	67/18614	0.000395017133009518	0.00396480159428072	0.00276985001647999	SERPINE1/CLN3/CARD16/IL1R2/PLAU/LRRK2	6
BP	GO:0051602	response to electrical stimulus	5/267	44/18614	0.000402098024486217	0.00402522402348471	0.00281206172936063	BTG2/NQO1/CD14/NR4A1/MMP2	5
BP	GO:0043302	positive regulation of leukocyte degranulation	4/267	25/18614	0.000412928940855286	0.00411194856064293	0.00287264835771132	PTAFR/ITGB2/VAMP8/FGR	4
BP	GO:0090023	positive regulation of neutrophil chemotaxis	4/267	25/18614	0.000412928940855286	0.00411194856064293	0.00287264835771132	RIPOR2/C5AR1/RAC2/C3AR1	4
BP	GO:0050679	positive regulation of epithelial cell proliferation	11/267	225/18614	0.000422582332394287	0.00419706117566473	0.00293210888114857	TNFAIP3/TGFA/OSR2/NR4A3/WNT5A/NR4A1/NOG/C5AR1/CCL24/IL10/CDH13	11
BP	GO:0051961	negative regulation of nervous system development	9/267	156/18614	0.000428207707054312	0.0042418277821516	0.00296338327982069	BTG2/IL6/TLR2/CDH1/WNT5A/IL1B/HES1/SORL1/NOG	9
BP	GO:0001660	fever generation	3/267	11/18614	0.000442181900090634	0.00434621276928463	0.00303630767501559	EDNRB/PTGS2/IL1B	3
BP	GO:0070944	neutrophil-mediated killing of bacterium	3/267	11/18614	0.000442181900090634	0.00434621276928463	0.00303630767501559	TREM1/CXCL6/NLRP6	3
BP	GO:0090009	primitive streak formation	3/267	11/18614	0.000442181900090634	0.00434621276928463	0.00303630767501559	ETS2/WNT5A/GDF3	3
BP	GO:0048483	autonomic nervous system development	5/267	45/18614	0.00044711713939101	0.00436082886079561	0.00304651862261281	EGR2/ACKR3/EDNRB/HES1/GATA3	5
BP	GO:0061098	positive regulation of protein tyrosine kinase activity	5/267	45/18614	0.00044711713939101	0.00436082886079561	0.00304651862261281	TGFA/HBEGF/CASS4/NEDD9/NCF1	5
BP	GO:1902622	regulation of neutrophil migration	5/267	45/18614	0.00044711713939101	0.00436082886079561	0.00304651862261281	TNFAIP6/RIPOR2/C5AR1/RAC2/C3AR1	5
BP	GO:0032088	negative regulation of NF-kappaB transcription factor activity	7/267	96/18614	0.000464442032308179	0.00451818736045444	0.00315645084305532	TNFAIP3/NFKBIA/NLRP12/NLRP3/HAVCR2/LRRK2/IL10	7
BP	GO:1901623	regulation of lymphocyte chemotaxis	4/267	26/18614	0.000482541162113471	0.00468225362930564	0.00327106917809051	NEDD9/WNT5A/CCL2/CCR2	4
BP	GO:0001704	formation of primary germ layer	8/267	127/18614	0.00049715794245159	0.00481177865729932	0.00336155665707064	DUSP2/ETS2/MMP9/LEF1/WNT5A/NOG/MMP2/ITGB2	8
BP	GO:0002224	toll-like receptor signaling pathway	6/267	70/18614	0.000500753275035832	0.00482197443016738	0.00336867952588893	TLR2/NFKBIZ/PLCG2/LY96/SCIMP/NLRP6	6
BP	GO:0014823	response to activity	6/267	70/18614	0.000500753275035832	0.00482197443016738	0.00336867952588893	IL6/CXCR4/SLC7A5/FOS/MMP2/IL10	6
BP	GO:1903317	regulation of protein maturation	6/267	71/18614	0.000540496348677275	0.00519150163767489	0.0036268349259677	SERPINE1/CLN3/CARD16/IL1R2/PLAU/LRRK2	6
BP	GO:0045765	regulation of angiogenesis	14/267	349/18614	0.000545195001910078	0.00522164027888248	0.00364789008190941	IL6/TNFAIP3/SERPINE1/CXCR4/WNT5A/IL1B/PF4/CYBB/CCR2/TMIGD2/C5AR1/CCL24/C3AR1/IL10	14
BP	GO:0050769	positive regulation of neurogenesis	11/267	232/18614	0.000546386713420228	0.00522164027888248	0.00364789008190941	IL6/EGR2/ID2/CHODL/TLR2/CXCR4/SLC7A5/TGM2/IL1B/KIT/HES1	11
BP	GO:0046683	response to organophosphorus	8/267	129/18614	0.000551674978451429	0.0052589318297606	0.00367394233203041	THBD/FOS/PTGS2/IL1B/AQP9/PIK3CG/REN/PTAFR	8
BP	GO:0032740	positive regulation of interleukin-17 production	4/267	27/18614	0.000560119830956532	0.0053127365966227	0.0037115308798646	IL6/IL18/SLC7A5/OSM	4
BP	GO:0042730	fibrinolysis	4/267	27/18614	0.000560119830956532	0.0053127365966227	0.0037115308798646	SERPINE1/THBD/SERPINB2/PLAU	4
BP	GO:0050864	regulation of B cell activation	8/267	130/18614	0.0005806922186211	0.00546464897953432	0.00381765838872109	IL6/TNFAIP3/ID2/CD27/PTPRC/IL2RG/SASH3/IL10	8
BP	GO:1903305	regulation of regulated secretory pathway	8/267	130/18614	0.0005806922186211	0.00546464897953432	0.00381765838872109	ADGRE2/CCR2/PTAFR/ITGB2/VAMP8/RAC2/FGR/LRRK2	8
