	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
RPL10P15	1	0	5	2	2	0
AD000671.2	7	21	38	45	25	3
AC008105.3	90	113	46	12	44	6
AC004490.1	0	4	0	17	0	0
AC090360.1	5	10	8	23	28	7
RNF157-AS1	0	0	0	0	3	0
AC005746.2	3	0	0	0	0	0
AP005131.1	0	0	0	0	5	0
AC007998.2	0	5	2	6	9	2
AC012615.4	0	3	0	3	2	0
AC092296.2	0	0	0	1	0	0
AP001120.2	0	0	0	3	0	0
AC006116.3	0	0	0	5	0	0
LINC01842	0	0	0	6	0	0
AC011476.2	24	5	7	5	2	4
AC093227.1	5	5	10	6	5	12
AC011499.1	4	5	7	3	0	2
AC005379.1	0	0	0	0	3	0
AC091152.2	0	2	5	5	2	3
AC005837.2	0	4	0	0	3	3
AC022098.1	195	167	93	152	118	33
AC011472.2	0	0	0	0	7	0
AC008770.2	0	2	1	2	0	10
PTP4A2P1	0	3	1	2	1	0
AC245748.2	0	0	0	0	3	1
AC006116.4	0	0	0	4	0	0
MIR212	28	4	1	4	5	4
AC011461.1	0	0	1	0	2	0
AC091132.4	44	13	25	20	4	17
AP001029.2	452	16	23	12	2	15
MIR132	1	2	1	1	0	2
SNRPGP4	0	0	0	2	1	1
AC018761.3	0	0	0	1	0	0
AC007773.1	0	0	4	0	0	10
AC092068.1	0	3	3	6	0	0
AC020915.1	0	258	42	772	109	52
AC010504.1	0	1	3	3	8	6
C17orf113	30	22	19	24	22	14
AC107993.1	16	6	7	4	8	0
AC005498.1	0	0	0	0	1	0
AC104971.1	0	20	0	6	0	0
AC012254.2	0	0	67	14	10	0
AC005786.2	0	2	0	2	0	0
HNRNPA3P16	26	88	6	72	77	50
AC092067.1	17	0	0	0	0	0
AC012615.6	14	426	59	237	237	62
AC008805.1	0	0	0	3	0	6
AC091132.5	0	2	0	0	3	5
AC025048.2	0	4	11	4	6	0
AP005482.3	17	13	9	1	4	0
AC139100.1	41	67	58	20	22	10
AC055813.1	1	2	1	2	0	0
AC020928.1	33	51	42	36	35	28
AC105105.1	0	0	2	3	0	0
ERVE-1	38	702	401	195	559	376
AC020928.2	18	43	20	12	20	6
AC099811.2	0	43	90	9	63	105
AC011444.2	0	2	0	0	0	3
AC006504.3	0	0	2	0	0	0
AC011476.3	8	37	5	60	33	3
AC010776.1	0	0	0	0	2	0
PARD6G-AS1	28	36	70	61	52	51
LINC01140	4	12	12	44	15	6
AC008770.3	0	4	7	8	9	4
AC024575.1	0	2	6	10	0	6
MAP3K14-AS1	0	49	13	27	38	14
TBX2-AS1	0	2	1	0	0	0
AC011481.3	0	36	12	29	12	9
AC005306.1	4	20	13	16	13	2
AC004672.2	3	0	3	2	0	0
AC068473.3	0	2	0	0	0	0
AC138150.2	0	20	0	0	28	52
AC008752.2	0	0	0	0	2	0
AC012569.1	2	5	0	6	5	2
AC025048.3	0	0	0	3	0	0
CEBPA-DT	10	4	2	19	6	0
RPL23AP77	0	1	1	6	6	0
RNFT1-DT	10	25	15	24	21	8
AC011511.4	715	42	20	1402	11	0
AC004637.1	0	0	0	2	0	0
AC092295.2	12	24	19	9	13	4
AC015911.4	0	0	0	3	0	0
AC021504.1	0	3	0	10	0	0
AC104532.1	0	6	0	2	1	0
AC060766.3	0	1	0	2	0	0
AC027307.2	201	213	303	83	102	95
AC005702.1	0	0	0	0	4	0
SELENOKP1	4	10	4	0	3	1
LINC02001	84	49	114	76	65	48
SNHG22	0	9	21	5	7	4
AC002398.2	1	1	13	16	1	1
AC060780.2	0	0	0	0	8	7
AC087289.3	0	19	5	20	2	5
AC003070.1	0	6	6	6	20	2
AC010632.1	2	0	1	0	0	6
EIF5AP3	0	0	0	1	0	0
GEMIN7-AS1	0	1	9	2	16	3
AC020928.3	0	5	0	4	0	0
RPL9P29	14	6	10	11	14	6
AC012309.1	0	7	1	2	6	0
SEC24AP1	0	6	0	4	4	1
KCNJ2-AS1	0	0	1	2	2	0
AP005131.2	0	0	0	0	3	0
UPK3BL1	213	33	40	18	49	22
AC015911.7	0	0	0	2	0	0
AC008752.3	6	3	1	1	3	11
AC005330.1	13	16	62	23	13	7
AC008894.1	0	2	0	2	0	0
AC016205.1	0	10	0	0	6	0
AC008649.2	0	0	0	1	5	0
AC008569.1	0	1	0	1	1	0
AC011447.3	2	8	3	1	16	4
AC011498.4	0	11	10	12	18	9
AC020931.1	0	15	1	3	2	10
AF038458.2	10	0	0	0	0	2
AC006504.4	0	0	0	0	0	1
AC036176.1	23	103	89	60	80	34
MIR122HG	0	0	2	0	0	0
AP002439.1	0	0	0	0	0	1
AC004596.1	0	2	6	2	2	2
DM1-AS	24	65	41	34	20	17
AC090229.1	34	105	98	44	33	28
AC023043.2	6	28	6	6	4	2
AC011498.5	0	0	0	4	0	0
AC092068.2	0	0	0	2	0	0
LINC01901	0	5	2	0	0	6
AC025048.4	33	0	10	1	9	0
AC138474.1	5	0	0	0	0	0
AC011477.1	20	20	30	23	18	12
AC005498.2	0	7	9	16	17	3
AC016582.2	2	0	3	5	1	2
AC020934.1	0	72	19	4	15	5
AC087289.4	12	239	152	94	12	23
AC006116.6	0	3	3	1	0	0
AC036176.2	0	0	2	2	0	0
DNAH17-AS1	0	7	0	0	0	0
AC008798.1	1	1	1	1	1	0
AC005786.3	0	171	206	105	125	0
AD000671.3	58	39	34	31	22	8
LINC02594	0	0	6	0	0	0
AC003070.2	0	6	0	0	0	0
AC005884.2	6	0	0	0	1	0
ZNF582-AS1	9	6	38	10	19	12
AC023043.3	0	9	0	7	4	4
AC004223.2	0	0	2	0	0	0
AC092069.1	24	18	45	8	8	3
AC006116.7	0	4	0	4	0	0
AC021683.1	0	0	1	0	0	0
AC005944.1	21	13	51	13	32	21
ZNF571-AS1	13	13	34	23	64	15
ARHGAP27P2	16	2	6	0	0	0
AC008569.2	26	2	0	0	0	8
AC008736.2	48	131	234	209	60	37
AC104365.1	0	0	0	0	1	0
AC008481.3	0	12	0	0	0	0
AP001542.3	0	5	9	0	4	0
AC011477.2	26	18	37	35	28	3
AC027319.1	0	0	5	3	1	3
AC100788.1	2	0	1	2	0	0
CIRBP-AS1	39	81	83	147	59	26
AC007786.1	0	2	7	10	4	0
AC104365.2	0	3	8	0	0	0
AC090236.2	2	0	0	1	0	0
AC021683.2	0	3	0	0	6	0
ZNF285	57	138	122	118	126	31
AC011451.1	0	7	10	5	28	0
AC011446.1	0	0	1	6	2	0
AP001029.3	8	2	0	0	0	0
LINC01855	0	0	0	0	0	2
AC020916.1	1839	939	868	1681	1039	474
AC010733.2	4	273	105	172	92	35
LINC01864	0	6	0	0	0	0
AC008735.2	0	22	8	39	10	16
AP005131.4	0	0	0	0	1	0
LINC01836	0	0	0	8	2	0
MIR497HG	435	293	406	360	431	106
AP002414.4	0	16	0	4	12	0
S1PR2	117	193	276	330	82	73
LINC00868	0	0	0	0	7	0
AC079466.2	0	2	0	0	0	0
MTCO2P2	26	5	20	16	7	2
AC015802.3	0	7	6	0	5	2
AC007229.1	0	2	2	2	0	2
AC005779.2	0	0	4	5	0	1
AC015802.4	0	13	0	0	0	0
AC060766.4	9	20	17	5	5	1
AC006116.8	0	2	4	8	2	0
AC022517.1	0	11	0	4	4	0
AC005264.1	0	0	0	3	0	0
AC093227.2	0	0	0	0	0	4
AC015911.8	0	0	0	2	0	0
AC008474.1	0	1	0	1	0	0
AC027514.2	0	0	0	0	2	0
AC093155.3	5	24	19	72	34	33
AC011477.3	0	10	7	0	19	15
AC008736.3	6	3	5	0	0	1
STK25P1	0	4	2	0	2	2
AC006504.5	154	180	184	262	115	128
AC010327.3	19	8	31	56	25	10
AC008738.3	0	0	0	3	0	0
AC011477.4	0	5	0	0	1	2
AC020916.2	0	6	0	5	0	0
AC007998.3	3	2	1	5	4	2
AC013290.1	0	0	0	2	0	0
LINC00907	1	7	2	8	6	4
AC004134.1	1	2	0	2	4	1
CYP4F24P	17	66	31	14	0	47
AC060780.3	0	0	3	0	0	0
AC011446.2	3	114	106	64	92	117
LINC01028	0	13	4	9	0	0
AC016590.1	0	13	10	19	10	5
AC011511.5	10	6	0	0	0	12
AC008759.2	8	3	13	9	11	6
AC245748.3	0	0	0	0	1	0
AC087289.5	0	0	0	0	0	1
AC004223.3	0	3	1	2	1	0
AC005357.2	0	7	0	3	0	1
AC087645.1	0	0	1	0	0	0
AC118757.1	10	0	0	0	0	0
AC138430.1	12	20	79	12	11	24
AC067852.3	17	23	2	34	11	14
AC008686.1	7	4	7	3	5	0
RPL7L1P5	0	2	0	1	0	0
AC008992.1	0	0	4	0	0	0
AC016582.3	18	74	23	26	57	16
BNIP3P16	0	0	2	0	0	0
AC061975.7	4	0	0	3	0	0
AC105052.3	828	623	777	1189	828	407
AC008543.5	0	0	0	2	2	0
AC060766.5	4	17	22	24	21	2
AC010327.4	1	13	4	7	24	2
AC015961.1	0	0	0	3	0	2
AC125437.1	12	8	40	18	16	15
AC099811.3	0	0	0	4	0	0
AC004156.1	0	0	7	8	0	0
AC005856.1	0	1	0	0	0	0
AC098847.1	0	0	3	0	0	0
AC010632.2	1	0	0	2	1	0
FDX2	582	408	661	474	509	201
THA1P	0	2	0	0	3	0
ZNF224	100	288	83	192	80	165
AC135721.1	2	22	16	14	15	0
AC016590.2	2	2	0	1	1	3
LDLRAD4-AS1	0	2	0	0	0	0
SHC1P2	0	2	0	0	1	0
TAF9P3	0	1	0	3	5	0
AP005131.5	0	1	0	0	0	0
ERVK-28	0	0	0	0	1	0
LUZP6	1	1	1	1	1	1
AC002116.2	0	0	0	0	3	0
AC091551.1	0	4	12	9	6	5
AC020922.1	0	2	0	0	0	2
AC015961.2	14	21	20	8	18	0
EDDM13	4	3	0	5	22	0
AC060766.6	0	0	0	0	4	0
AC012433.1	0	0	0	2	2	0
SRSF10P1	0	4	4	8	0	4
AC012254.3	36	0	5	48	0	2
AC008738.5	0	0	0	1	0	4
AC005332.2	0	0	3	0	0	2
AL121989.1	51	6	14	6	0	0
HMGB2P1	0	0	1	2	0	0
AC087645.2	3	2	0	0	2	0
AC024592.3	47	47	87	124	150	24
UBE2L4	2	0	0	0	4	0
SINHCAFP2	0	0	0	0	1	0
AC107896.1	0	0	0	0	1	0
AC060766.7	6	21	26	5	10	5
AC011479.1	56	29	30	26	17	15
AC092068.3	0	7	8	9	10	2
RUNDC3A-AS1	0	6	4	0	11	0
AC009005.1	7	4	14	7	11	11
RPS10P27	0	0	0	0	1	0
AC006557.4	0	1	0	1	2	0
EML2-AS1	0	12	0	0	14	0
AC099811.4	0	3	0	2	0	0
AC048380.1	0	0	0	2	2	0
AC093567.1	0	2	0	1	5	0
AC100793.3	0	0	0	2	0	0
LINC01801	0	10	0	0	0	2
AC011498.6	20	7	10	18	10	2
AC011447.4	0	0	0	0	0	2
AC010776.2	0	74	45	108	136	26
AC006116.10	0	0	0	0	0	10
AC021594.2	8	12	85	10	10	10
AC010680.1	0	0	6	2	0	0
AF038458.3	0	0	1	0	0	2
AC027097.2	4	32	34	72	30	25
AC018761.4	6	4	0	0	2	0
SMIM22	13	0	0	3	0	6
LIN37	680	538	856	631	502	286
MAN1A2P1	33	13	0	6	0	0
AC012254.4	0	0	1	0	0	2
AC087289.6	11	23	38	107	81	50
NDUFV2P1	1	23	26	47	36	9
AP001160.2	7	6	12	15	12	0
AC011468.2	0	12	16	0	0	1
AL592211.1	8	0	0	2	4	1
AC245884.8	2	6	0	0	14	4
AC119396.2	0	0	0	0	4	0
NDUFA7	716	1178	1797	2655	2205	720
AL133499.1	0	3	0	0	4	0
MZF1-AS1	37	152	81	88	67	58
AL356740.1	0	0	5	0	4	0
ZNF460-AS1	0	7	0	5	0	0
AL031666.2	0	15	0	0	0	0
AC074135.1	0	0	0	0	0	10
AC010624.2	0	0	3	6	0	0
AC022144.1	97	37	39	41	11	2
AC026803.2	7	14	15	18	10	0
AC024075.1	14	38	29	0	0	12
ZSCAN5DP	0	0	6	0	0	0
CCDC177	0	172	61	57	50	32
AC009955.2	66	41	23	15	6	8
SNX6P1	0	1	0	0	0	0
AC007785.1	0	2	0	0	0	0
AC139769.2	29	103	71	161	87	78
AC010320.1	0	1	18	5	14	1
AC010300.1	586	33	19	29	41	8
EIF1P6	11	6	4	1	3	0
AC008946.1	0	0	3	0	0	0
AC022762.2	2	19	19	18	6	9
AC010328.1	1	0	0	3	0	0
AC008878.1	0	36	65	168	157	24
MIR3188	0	1	0	0	0	0
AC011523.1	0	0	0	0	7	0
AC007292.1	16	14	39	14	8	10
AC008750.4	2	3	2	7	8	1
CARD8-AS1	12	70	28	35	49	35
PTOV1-AS1	37	38	14	30	18	9
AC010320.2	0	5	0	3	0	0
AC243960.1	2	0	0	0	0	0
AC005253.1	0	23	33	61	39	16
AC243960.2	0	12	20	11	17	6
LINC01785	73	30	35	4	46	45
AC010616.1	0	16	20	8	2	3
NBPF12	1243	737	518	446	336	249
AC018766.1	7	10	0	7	3	0
AC012313.2	33	97	71	66	50	15
AC008395.1	0	0	0	0	1	0
AC020913.1	0	0	3	6	2	2
BNIP3P40	0	1	0	2	0	2
NAPA-AS1	26	7	20	46	30	15
SRP14P4	2	4	3	2	0	0
FMR1-AS1	0	0	0	3	0	0
AC004466.1	0	16	11	15	6	0
AC123912.1	0	3	11	7	7	22
AC008982.1	1	1	55	0	23	2
AC008764.2	1	34	14	17	14	5
GABRQ	0	18	0	0	0	0
AC022154.1	0	6	2	6	5	3
ZNF649-AS1	0	0	3	0	0	2
AC003005.1	0	16	0	1	0	6
AC010615.2	11	28	48	36	72	35
AC010336.3	0	0	1	3	6	0
AC026304.1	11	5	18	31	4	5
AC003002.1	0	6	4	4	3	1
AC010336.4	0	0	5	0	9	12
AC004076.1	0	0	2	2	9	0
AC073342.2	0	0	0	0	4	3
AC007192.1	42	262	126	55	25	0
SMIM17	0	16	7	8	14	13
AC005785.1	615	121	109	75	25	19
AC010503.1	2	12	16	22	4	3
AC002985.1	13	18	46	17	36	23
AC010335.1	3	0	0	3	0	0
AC020915.2	7	6	6	9	2	0
AC010503.2	3	11	15	14	2	6
AC008763.1	0	5	2	0	4	4
AC005261.1	483	959	595	660	829	279
AC137932.3	27	93	25	101	44	22
EEF1A1P7	1	4	0	2	2	0
AC010487.1	0	5	15	18	4	6
AC012313.3	923	86	73	54	59	23
FKBP4P6	0	0	0	0	2	0
AIRN	0	2	0	2	0	0
AC011445.1	0	5	1	5	1	11
AC123912.3	0	0	4	0	0	3
AC090004.1	1	12	10	10	4	13
AL589765.5	2	1	14	0	0	0
AC006547.3	0	0	2	1	0	0
CLEC4GP1	8	0	4	0	8	0
LINC02560	2	2	10	0	0	0
AC008764.3	12	0	0	0	0	0
BNIP3P25	0	4	0	0	0	0
AL132655.1	0	0	0	5	0	0
FAM156A	1026	1327	1090	598	613	395
AC243960.3	0	4	5	3	0	4
VN1R81P	0	5	4	0	6	10
AC092279.1	0	19	9	37	38	17
SMC5-AS1	0	13	16	0	8	14
AC010271.1	0	4	0	9	0	4
AC025588.1	0	0	0	5	0	0
AC003682.1	0	0	0	3	0	0
AC008763.2	7	0	9	0	9	4
AC007785.3	5	0	0	0	4	0
AC132192.2	13	18	16	6	9	16
AC006115.1	0	0	0	1	0	0
AC010329.1	0	3	0	2	3	2
AC093503.1	0	0	2	0	2	0
MTDHP3	0	0	12	8	54	4
AC011530.1	4	6	12	6	5	4
BNIP3P27	0	0	0	0	2	0
AC073534.1	12	14	16	3	20	3
AC011468.3	0	2	1	0	0	0
AC006262.1	25	28	4	3	2	9
AC078899.2	0	0	0	0	1	0
AC008403.2	0	3	2	0	0	0
MIR4453HG	6	43	37	47	60	36
AP002884.4	0	10	0	1	0	0
FO681491.1	0	0	1	2	0	0
AC245884.9	6	8	0	0	2	2
AC011479.2	0	0	1	0	0	0
AC018755.2	0	0	0	8	79	2
AC026202.3	20	41	45	12	0	19
AC020915.3	84	208	162	189	176	51
AC008750.5	3	0	0	0	2	0
VN1R83P	22	17	9	4	9	13
AC008403.3	1	4	0	2	0	3
AC060814.3	0	0	0	0	0	1
AC003002.2	2	38	1	1	57	6
AC005523.1	0	0	10	6	0	0
AC012313.4	0	9	3	0	7	0
VN1R107P	0	3	0	0	0	0
AC123912.4	26	9	183	36	150	100
AC010636.1	0	9	6	2	2	5
AC005339.1	0	0	0	5	0	0
AC011815.1	0	27	8	15	7	10
AL031282.2	457	218	289	161	387	124
LINC01966	0	1	0	0	0	0
SIGLEC18P	0	0	0	2	0	0
AC011466.1	0	3	0	1	0	0
AC073389.1	0	0	2	0	6	2
AL355312.3	25	168	112	54	110	84
AC008749.1	1	1	0	1	1	1
AC115522.1	0	0	2	0	0	0
AC053503.5	12	16	17	1	7	0
AC011497.1	0	7	1	1	8	0
AC008878.2	0	6	0	12	16	4
IGFL2-AS1	0	0	5	0	5	0
AL121761.1	0	0	0	2	0	0
AP003680.1	3	22	25	19	5	43
AC006486.1	0	19	40	88	51	16
AL132655.2	0	7	2	0	0	2
AC005759.1	5	0	0	0	2	0
MIMT1	12	0	13	0	8	6
AC008687.4	3	7	3	9	0	0
LINC00664	0	2	4	4	11	0
LETM1P2	0	0	0	4	4	4
AC016586.1	0	16	2	5	10	13
AC004597.1	0	6	4	3	0	0
AC011495.3	0	3	0	0	0	0
AC005261.2	0	7	2	6	2	6
AC020910.1	0	0	0	0	3	0
AC011494.1	0	0	0	0	3	0
BNIP3P26	0	0	0	1	0	0
AL158151.4	13	6	5	4	0	0
AC005261.3	91	84	32	72	68	1
AC245128.3	0	0	4	1	2	2
MTCO3P39	0	1	0	0	0	0
HSFX2	9	66	43	12	16	6
AC008737.1	0	9	0	1	0	1
AC008758.4	0	0	6	0	8	0
AC010519.1	10	4	1	1	2	0
AC022432.1	0	12	2	2	6	4
AC010522.1	0	14	11	5	3	16
SCGB1B2P	28	18	39	41	17	9
LINC01081	2	0	0	0	0	0
AC104534.1	5	12	0	6	10	0
ADGRE4P	0	4	3	0	0	0
RPL7P50	0	0	0	1	1	0
AC008764.4	0	5	20	39	18	1
VN1R90P	4	0	0	0	0	0
AC008537.1	0	1	0	2	0	0
AC027307.3	16	20	15	22	9	10
AC106774.4	0	0	2	0	0	0
AC004264.1	26	68	18	113	9	18
BNIP3P32	0	3	0	0	0	0
Z69706.1	14	4	8	4	1	2
AC020909.3	0	0	2	1	1	0
AL118506.1	213	476	464	546	309	156
AC008878.3	0	30	105	18	52	0
ESPNP	12	130	0	2	18	0
AC022601.1	0	0	0	2	0	0
IGFL1P1	0	3	0	0	0	0
PNMA6B	34	157	290	185	123	106
AC010620.1	0	0	2	0	0	0
A1BG-AS1	115	287	354	208	257	75
AC009955.3	26	42	9	3	11	7
AL627309.6	134	146	26	94	99	26
AC012313.5	11	111	30	43	38	58
AL354861.3	0	2	2	6	4	0
AC005387.1	5	3	8	8	0	0
LINC01711	10	6	22	4	2	0
CKS1BP3	7	5	4	3	5	7
AC010422.2	0	4	6	6	10	3
AC002128.1	1	6	0	13	13	5
MRPS17P1	0	3	0	1	0	0
AL772155.3	2	1	2	0	1	1
AC068020.1	0	4	5	5	4	1
AC022150.2	0	16	8	8	16	13
MIA-RAB4B	0	23	1	50	0	0
AC005253.2	6	55	49	12	10	3
AC011462.4	0	0	2	0	0	0
CDC42EP3P1	0	0	0	4	0	0
VN1R82P	1	1	1	2	2	1
MAN1B1-DT	143	137	188	194	150	91
AC092070.2	36	90	155	6	6	121
HOMER3-AS1	0	3	11	4	6	0
AC003006.1	9	0	15	0	6	0
MTRNR2L12	40	24	20	23	27	16
AC016629.1	2	32	23	2	21	3
AP001462.1	8	6	0	1	3	5
AC024075.2	58	89	125	147	80	30
AC010319.3	0	12	2	8	0	0
AC012313.6	12	15	10	10	4	4
CALR3	0	0	0	0	4	0
AC020908.3	16	5	3	12	0	2
ZNF728	0	5	0	5	2	2
AC009955.4	17	58	8	5	19	7
AC007842.1	4	68	32	63	46	46
AC063977.6	0	0	2	0	9	0
AC010320.3	5	0	4	0	0	4
AC092329.1	0	3	0	0	0	0
TRABD2B	0	95	75	206	17	53
FAM90A28P	0	0	2	0	0	0
HNRNPA1P52	0	0	0	1	3	0
AL137002.1	0	3	0	0	1	0
BRI3BPP1	1	0	0	0	0	0
ZNF209P	0	0	0	0	0	2
AC010336.5	0	0	1	8	0	2
AC092301.1	6	5	0	21	6	8
AC007193.3	1	0	0	0	0	0
LYPLA2P2	0	0	4	0	9	6
AP001160.3	36	61	89	70	46	35
L34079.2	0	0	0	1	0	0
AC011452.1	0	0	1	5	5	8
FBXO17	240	488	554	515	510	196
AC005387.2	0	5	2	3	0	0
AC006942.1	6	20	60	36	63	19
AC019171.1	62	54	79	48	39	24
LINC00528	0	0	6	3	6	0
ZNF350-AS1	0	13	4	0	0	2
AC010422.3	26	44	105	85	99	118
AC008894.2	0	16	0	13	7	3
RPL23AP78	0	1	0	0	0	0
AC011445.2	0	0	2	0	4	0
AC020922.3	0	2	0	6	0	0
AC092070.3	6	0	0	2	0	0
AC011503.1	0	0	0	10	0	0
AC093503.2	2	7	9	10	7	5
ZSCAN16-AS1	124	59	172	152	196	57
AC005614.1	0	2	0	0	2	4
AC008734.1	0	0	0	2	0	0
AC020907.3	5	0	0	0	0	0
FKBP1AP1	0	0	0	1	0	0
MAGIX	36	85	82	61	69	17
AC007292.2	26	82	37	18	25	20
GOLGA2P9	5	8	0	0	0	2
IKBKG	479	1025	950	504	608	293
ZNF587B	29	200	103	138	152	144
VN1R85P	0	2	0	0	0	0
PTOV1-AS2	144	493	183	363	237	91
AC092071.1	3	0	2	0	0	0
LINC01233	0	0	5	0	0	0
AC120349.1	6	2	3	1	1	0
AC008878.4	24	8	9	6	14	2
AC008739.2	2	0	0	0	0	0
AC011497.2	174	737	737	455	317	380
AL356740.3	0	0	0	0	0	3
AC022149.1	28	182	249	144	114	96
RAB11B-AS1	172	130	209	65	162	58
AL365205.3	0	0	2	0	1	0
AC018755.3	256	161	273	126	290	75
AC008655.2	0	0	0	0	2	0
AC011503.2	0	0	0	0	2	2
AC008764.6	22	79	27	18	30	3
AC008734.2	0	0	0	0	0	2
AC008750.8	4	0	26	20	17	0
SPIB	1	1	0	4	25	0
LINC01224	0	0	6	0	0	0
PLA2G4C-AS1	0	0	7	1	5	0
AC104521.1	0	8	0	4	0	1
AC024075.3	8	17	24	13	2	2
AC010618.4	79	128	177	268	130	69
AC011491.2	0	4	0	0	0	2
AP001160.4	1	0	1	3	6	0
H3.Y	2	0	45	0	0	0
AC010619.1	0	1	1	0	1	0
AC012313.8	25	9	11	6	0	1
AC010326.2	0	0	0	1	0	0
AC020913.2	0	2	1	0	0	0
AC010319.4	8	17	6	15	7	17
Z69720.1	2	7	6	0	4	0
AC006272.2	0	0	3	0	0	0
ERVK9-11	4	39	9	14	5	5
AC008635.1	0	0	0	0	2	0
AL589765.6	0	2	0	0	2	0
DMRTC1	0	0	7	0	0	0
AC110792.2	0	12	3	4	0	0
AC024257.3	7	3	4	18	27	8
AC245052.7	0	0	0	0	0	1
AC003002.3	2	0	24	23	1	3
AC010320.4	0	4	0	0	0	0
AC010624.4	0	0	0	3	0	0
U62631.1	0	5	0	0	2	2
TMEM185A	360	488	526	304	527	185
AC093677.2	13	15	26	29	35	11
AC010422.4	0	0	0	2	0	0
AP001350.1	30	2	3	5	11	15
AC008764.7	4	6	6	5	8	0
L34079.3	0	0	0	3	0	0
AC010422.5	0	7	14	0	11	0
AL161896.1	0	0	3	0	0	0
AC005523.2	9	52	51	87	0	0
RPARP-AS1	72	66	77	61	58	57
AC004257.1	15	5	3	3	0	0
RPL12P41	1	1	1	3	1	0
AC010487.2	4	1	5	4	10	0
AC011510.1	0	7	4	16	0	3
AC011479.3	0	3	0	0	9	0
NOP53-AS1	0	8	0	7	0	0
AC008760.1	0	0	0	0	1	0
AC008982.2	24	59	11	38	22	10
AC010422.6	74	28	0	0	0	0
AC005197.1	0	0	4	0	0	0
AC005498.3	29	41	28	22	30	13
ZIM2	9	29	4	26	35	19
NBPF9	354	656	803	825	413	356
CCDC194	4	0	4	4	14	0
AC006262.2	0	0	0	1	0	1
AC010319.5	0	0	0	0	3	0
AL691432.1	16	197	13	98	37	103
SLC25A53	42	92	67	60	69	41
AC005614.2	0	0	0	0	1	0
AC010329.2	0	0	0	2	0	2
AC010642.1	0	0	0	0	3	0
PLEKHA3P1	0	6	13	9	22	8
BICRA-AS1	0	0	0	0	1	0
AC007292.3	0	0	0	0	5	0
AC010336.6	0	0	3	1	0	0
AC010463.3	0	8	1	6	8	1
KCNQ1OT1	762	923	689	616	783	279
AC022150.4	46	18	20	42	39	44
ZNF528-AS1	428	109	155	89	115	39
AC020913.3	6	0	1	0	1	0
IPO5P1	48	94	162	88	144	56
AC011453.1	1	1	0	0	0	0
AC008537.2	4	8	11	3	6	4
AC092364.2	0	0	1	2	2	2
AL136172.1	0	0	0	10	0	4
AC119751.8	0	1	0	0	0	0
RNF225	0	0	0	0	2	2
EGLN2	938	1194	1875	1852	1317	1407
AC008735.3	0	3	2	0	0	0
AC010326.3	52	26	21	24	30	14
AC245884.10	0	0	0	3	9	0
AC004754.1	20	34	46	12	13	48
AC022382.1	14	10	20	6	0	5
AL391001.1	0	0	0	2	0	0
AC112491.1	15	13	21	15	42	19
AC078802.1	0	8	9	9	10	5
AL353593.1	0	47	9	0	11	16
ARHGAP19-SLIT1	5	0	0	0	0	0
AC125494.2	13	20	21	10	6	20
SNHG8	217	134	190	209	306	104
AC018809.1	0	2	0	0	4	0
AP000654.1	0	0	0	11	11	1
AL513477.1	40	217	63	84	47	27
COMMD3-BMI1	0	70	69	204	110	0
AC025857.2	1	20	6	32	25	1
RMRP	0	0	0	1	0	1
AC010531.5	0	4	0	4	0	0
AC025165.4	4	7	1	11	6	4
AL606834.1	47	40	27	43	35	14
PTMAP11	1	4	1	3	13	7
AL049840.2	10	128	53	99	53	49
FAM226B	0	0	1	0	1	0
AF131215.6	94	270	289	127	101	51
AC068620.1	0	5	2	1	8	0
AC024451.4	0	0	6	0	7	0
Z98884.2	4	7	7	7	0	4
AC004817.3	13	1	1	0	0	4
AL158152.1	22	43	4	89	95	13
AC091057.3	6	9	4	2	2	4
AL031429.2	0	0	3	2	0	0
AL353593.2	0	23	16	13	8	8
AC093525.7	11	155	23	94	66	62
AC068790.2	0	0	0	1	0	3
PCF11-AS1	0	2	1	1	0	1
AL049840.3	23	74	64	78	52	40
AP001267.4	0	2	1	0	0	0
MIRLET7A1HG	6	3	16	14	8	4
AC135178.5	89	11	40	32	13	2
AC069307.1	6	7	6	3	14	1
AC090181.2	14	25	30	27	2	5
AL117336.1	0	0	1	2	1	0
FMC1-LUC7L2	0	292	682	264	626	0
MKNK1-AS1	0	3	0	5	0	6
AL049840.4	175	385	441	417	281	107
SPACA6P-AS	0	0	0	7	0	0
AC010359.1	0	1	8	1	0	0
AL136115.2	0	1	0	0	0	4
AC006064.4	1860	3401	3533	3826	4058	1978
AL162424.1	0	0	0	3	2	0
AL020997.2	0	2	0	1	2	0
AC004542.1	0	17	10	5	2	15
AC010969.2	149	140	262	173	86	45
AC012065.3	282	161	232	79	8	35
AL359881.1	3	6	1	0	0	1
AC068768.1	0	0	0	6	0	0
AL627309.7	2	88	6	25	53	12
AC018809.2	110	158	129	127	79	52
AC146944.4	0	22	29	17	19	12
AC078795.1	0	5	0	2	0	0
AL021328.1	0	0	2	0	0	0
AC004542.2	0	14	10	9	9	21
AL513318.2	0	2	0	0	2	0
AC068790.3	0	2	2	5	5	1
AL121894.2	0	12	0	11	7	2
AC010531.6	25	8	11	8	15	0
ZNF559-ZNF177	24	81	87	11	17	23
AC232271.1	6	31	15	29	39	4
AC087481.3	42	200	141	236	103	61
AC110769.2	0	12	0	0	0	0
